rank,male_name,male_count,female_name,female_count
1,John,57276,Mary,72175
2,Robert,53797,Dorothy,37716
3,William,51117,Helen,32507
4,James,49803,Margaret,26864
5,Charles,28840,Ruth,23629
6,George,27349,Betty,20894
7,Joseph,25700,Virginia,19144
8,Edward,20421,Mildred,16412
9,Richard,17539,Elizabeth,15242
10,Frank,16013,Frances,15053
11,Thomas,15264,Doris,13798
12,Donald,14915,Anna,13405
13,Harold,13594,Evelyn,13318
14,Paul,12925,Marie,11912
15,Walter,12632,Alice,11277
16,Raymond,12130,Marjorie,10385
17,Henry,11208,Irene,10172
18,Jack,10845,Florence,10036
19,Arthur,10115,Lillian,9428
20,Albert,9894,Jean,9108
21,Kenneth,9260,Martha,9021
22,Harry,9078,Louise,8886
23,Ralph,8485,Rose,8790
24,David,7865,Catherine,8538
25,Eugene,7849,Gladys,8042
26,Howard,7297,Ruby,8003
27,Louis,7097,Josephine,7865
28,Willie,6906,Eleanor,7853
29,Clarence,6861,Edna,7621
30,Carl,6692,Annie,7474
31,Earl,6460,Thelma,7253
32,Roy,6459,Ethel,7245
33,Fred,6246,Lucille,7151
34,Francis,6148,Edith,7136
35,Joe,6092,Lois,6946
36,Lawrence,5784,Pauline,6811
37,Ernest,5502,Hazel,6759
38,Leonard,5407,Grace,6743
39,Anthony,5092,Shirley,6408
40,Herbert,5046,Barbara,6273
41,Stanley,5045,Bernice,5912
42,Alfred,4832,Marion,5667
43,Samuel,4600,Beatrice,5476
44,Norman,4526,Esther,5474
45,Warren,4484,June,5382
46,Bernard,4409,Norma,5237
47,Daniel,4283,Clara,5125
48,Michael,3992,Gertrude,5082
49,Russell,3966,Ann,5055
50,Melvin,3909,Emma,5013
51,Leo,3902,Sarah,4982
52,Edwin,3829,Rita,4977
53,Andrew,3804,Phyllis,4935
54,Elmer,3738,Katherine,4827
55,Leroy,3670,Jane,4803
56,Marvin,3581,Lorraine,4668
57,Peter,3547,Juanita,4643
58,Gerald,3543,Geraldine,4642
59,Lloyd,3365,Elsie,4618
60,Frederick,3352,Julia,4616
61,Floyd,3220,Gloria,4496
62,Theodore,3217,Agnes,4480
63,Clifford,3158,Bertha,4419
64,Chester,3132,Eva,4192
65,Ray,3051,Ida,3986
66,Herman,3015,Anne,3972
67,Clyde,3006,Marian,3950
68,Vernon,3003,Laura,3902
69,Lester,2951,Patricia,3902
70,Philip,2769,Willie,3884
71,Vincent,2708,Pearl,3848
72,Charlie,2652,Viola,3793
73,Alvin,2598,Kathryn,3792
74,Milton,2556,Vivian,3733
75,Lewis,2555,Myrtle,3649
76,Gordon,2527,Charlotte,3582
77,Leon,2520,Wilma,3537
78,Wayne,2476,Nancy,3517
79,Glenn,2426,Vera,3509
80,Martin,2404,Kathleen,3465
81,Jesse,2396,Bessie,3447
82,Benjamin,2376,Maxine,3444
83,Lee,2371,Nellie,3274
84,Sam,2350,Alma,3233
85,Cecil,2336,Lillie,3200
86,Victor,2322,Violet,3194
87,Wallace,2211,Jessie,3182
88,Harvey,2208,Stella,3165
89,Dale,2042,Audrey,3163
90,Billy,2029,Ella,3150
91,Willard,2017,Minnie,3117
92,Oscar,2007,Wanda,2986
93,Edgar,1924,Lucy,2977
94,Arnold,1893,Sylvia,2961
95,Allen,1887,Ellen,2953
96,Roger,1849,Eileen,2938
97,Claude,1805,Jeanne,2917
98,Everett,1798,Genevieve,2897
99,Virgil,1789,Mabel,2893
100,Gilbert,1748,Margie,2854
101,Stephen,1721,Leona,2825
102,Wilbur,1716,Elaine,2793
103,Maurice,1696,Mattie,2747
104,Bill,1675,Dolores,2714
105,Johnnie,1646,Jennie,2671
106,Douglas,1636,Marguerite,2657
107,Marion,1631,Lena,2625
108,Homer,1630,Opal,2562
109,Morris,1630,Theresa,2543
110,Sidney,1619,Geneva,2443
111,Jessie,1592,Mae,2403
112,Eddie,1588,Muriel,2392
113,Curtis,1547,Velma,2367
114,Leslie,1544,Georgia,2364
115,Roland,1539,Blanche,2322
116,Hubert,1527,Christine,2267
117,Max,1517,Harriet,2236
118,Luther,1477,Sara,2220
119,Manuel,1462,Eunice,2179
120,Hugh,1442,Rosemary,2170
121,Jerome,1423,Emily,2146
122,Nicholas,1416,Carrie,2120
123,Glen,1384,Rosa,2107
124,Irving,1366,Beulah,2096
125,Alexander,1359,Loretta,2095
126,Franklin,1319,Joyce,2016
127,Wesley,1288,Joan,2010
128,Calvin,1283,Jeanette,2005
129,Julius,1277,Janet,2004
130,Steve,1268,Inez,1991
131,Jose,1258,Hilda,1962
132,Horace,1251,Maria,1929
133,Willis,1250,Arlene,1884
134,Oliver,1214,Naomi,1869
135,Jerry,1197,Fannie,1867
136,Don,1183,Alberta,1852
137,Tony,1146,Bonnie,1824
138,Rudolph,1145,Dora,1807
139,Ben,1120,Hattie,1781
140,Jimmie,1118,Anita,1762
141,Guy,1117,Cora,1762
142,Bruce,1105,Lula,1757
143,Earnest,1089,Madeline,1731
144,Gene,1089,Carolyn,1706
145,Tom,1084,Marilyn,1698
146,Lyle,1055,Verna,1693
147,Ronald,1042,Mamie,1688
148,Jacob,1027,Ada,1683
149,Junior,1024,Constance,1677
150,Archie,1023,Roberta,1659
151,Orville,1022,Miriam,1639
152,Patrick,1019,Mable,1620
153,Edmund,1014,Sophie,1581
154,Salvatore,1007,Rachel,1541
155,Alex,1002,Marcella,1537
156,Otis,988,Olga,1535
157,Keith,984,Daisy,1530
158,Dean,983,Carol,1522
159,Matthew,983,Flora,1522
160,Clayton,979,Bette,1482
161,Angelo,978,Lola,1478
162,Delbert,976,Winifred,1428
163,Mike,931,Beverly,1411
164,Phillip,919,Erma,1411
165,Clinton,916,Rosie,1385
166,Bennie,915,Donna,1349
167,Wilbert,902,Claire,1339
168,Clifton,887,Estelle,1331
169,Jim,881,Olive,1323
170,Johnny,864,Maggie,1313
171,Marshall,853,Peggy,1304
172,Merle,835,Susie,1302
173,Emil,824,Rebecca,1296
174,Dan,804,Eula,1284
175,Nathaniel,799,Antoinette,1270
176,Ira,792,Caroline,1268
177,Ervin,791,Sadie,1263
178,Nick,791,Lorene,1241
179,Bob,787,Eloise,1223
180,Jay,780,Nora,1219
181,Julian,773,Laverne,1214
182,Forrest,772,Fern,1207
183,Leland,768,Henrietta,1169
184,Elbert,754,Irma,1167
185,Nathan,749,Della,1155
186,Ivan,748,Victoria,1145
187,Alton,741,Regina,1136
188,Rufus,737,Nina,1131
189,Seymour,734,Lucile,1130
190,Isaac,720,Billie,1104
191,Wilfred,720,Rosalie,1104
192,Irvin,718,Lottie,1090
193,Dewey,714,Adeline,1085
194,Sylvester,707,Katie,1051
195,Lonnie,704,Amelia,1032
196,Aaron,699,Veronica,1028
197,Lowell,698,Jeannette,1027
198,Dennis,677,Angelina,1026
199,Mark,667,Lydia,1025
200,Antonio,665,Essie,1022
201,Nelson,659,Jacqueline,1021
202,Felix,656,Cleo,991
203,Pete,644,Nettie,989
204,Grover,633,Sally,972
205,Owen,632,Ernestine,951
206,Murray,628,Angeline,935
207,Norbert,628,Dorothea,931
208,Otto,628,Melba,929
209,Duane,625,Goldie,926
210,Ellis,624,Faye,924
211,Woodrow,623,Freda,924
212,Juan,621,Lila,919
213,Mack,620,Imogene,916
214,Billie,615,Ollie,915
215,Perry,615,Delores,912
216,Rex,615,Johnnie,902
217,Bert,609,Adele,900
218,Johnie,608,Isabel,888
219,Ted,606,Bettie,868
220,Eldon,605,Lela,865
221,Wendell,600,Ora,865
222,Abraham,599,Luella,861
223,Byron,599,Addie,856
224,Percy,599,May,855
225,August,596,Annette,851
226,Allan,594,Jewell,830
227,Elwood,594,Effie,810
228,Carroll,589,Jewel,810
229,Loyd,583,Susan,795
230,Laurence,580,Isabelle,794
231,Emmett,578,Carmen,783
232,Grady,576,Leola,778
233,Ross,576,Gwendolyn,771
234,Jesus,561,Iva,761
235,Myron,561,Priscilla,761
236,Wilson,560,Cecelia,760
237,Amos,558,Yvonne,758
238,Loren,557,Sallie,757
239,Dominick,548,Janice,745
240,Malcolm,548,Cecilia,733
241,Adolph,545,Reba,728
242,Gerard,542,Eleanore,724
243,Sherman,541,Etta,720
244,Fredrick,539,Teresa,701
245,Dominic,534,Ola,698
246,Karl,527,Selma,692
247,Harley,525,Alta,691
248,Boyd,508,Ina,689
249,Erwin,508,Elva,686
250,Roscoe,505,Janie,685
251,Troy,502,Lizzie,685
252,Tommy,497,Sue,684
253,Freddie,496,Celia,678
254,Larry,491,Natalie,678
255,Neil,489,Iris,653
256,Burton,480,Lenora,651
257,Alan,479,Nell,646
258,Garland,478,Angela,640
259,Millard,478,Matilda,626
260,Adam,469,Nadine,623
261,Preston,467,Estella,617
262,Aubrey,465,Helene,613
263,Morton,460,Amy,612
264,Louie,458,Francis,607
265,Austin,456,Arline,589
266,Mario,451,Annabelle,584
267,Carlton,447,Elnora,584
268,Dwight,447,Elma,579
269,Doyle,443,Nannie,579
270,Carlos,441,Ila,576
271,Reuben,439,Carmela,574
272,Cornelius,436,Elvira,574
273,Charley,435,Fay,568
274,Tommie,425,Frieda,566
275,Jasper,423,Virgie,558
276,Grant,417,Carmella,554
277,Laverne,414,Elinor,539
278,Rodney,400,Mavis,538
279,Maynard,398,Connie,536
280,Steven,395,Olivia,536
281,Edmond,388,Maude,534
282,Neal,388,Clarice,533
283,Rocco,388,Gracie,533
284,Harlan,387,Mollie,532
285,Moses,387,Bernadine,527
286,Mitchell,386,Harriett,519
287,Lynn,382,Rena,518
288,Jimmy,381,Dorthy,513
289,Dallas,380,Margery,511
290,Darrell,379,Eugenia,507
291,Simon,376,Lee,496
292,Harrison,374,Edythe,487
293,Bobby,370,Leah,485
294,Joel,368,Flossie,478
295,Odell,368,Myra,468
296,Wilmer,367,Zelma,467
297,Roosevelt,365,Rhoda,464
298,Dick,363,Sybil,463
299,Irwin,363,Winnie,462
300,Ruben,361,Millie,458
301,Thurman,358,Concetta,454
302,Will,358,Neva,454
303,Elton,356,Aileen,453
304,Monroe,354,Cornelia,453
305,Ramon,353,Frankie,452
306,Wade,347,Yolanda,450
307,Cleveland,346,Odessa,449
308,Elvin,346,Josie,448
309,Emanuel,344,Joy,447
310,Stuart,344,Rosetta,445
311,Francisco,341,Lenore,439
312,Solomon,334,Alyce,430
313,Conrad,333,Marcia,428
314,Jake,333,Loraine,425
315,Pedro,330,Darlene,423
316,Merlin,328,Cecile,422
317,Clark,326,Lily,418
318,Dave,325,Dollie,416
319,Russel,325,Willa,416
320,Ward,323,Adelaide,414
321,Alonzo,320,Judith,412
322,Clair,320,Hannah,411
323,Carmen,317,Rosella,410
324,Clement,317,Claudia,401
325,Elmo,317,Allie,400
326,Weldon,316,Jimmie,399
327,Elijah,311,Berniece,398
328,Delmar,310,Letha,398
329,Cleo,309,Madge,396
330,Kermit,309,Merle,394
331,Armand,307,Sophia,391
332,Christopher,307,Avis,386
333,Patsy,307,Eddie,378
334,Alfonso,305,Christina,372
335,Buford,304,Corinne,372
336,Andy,303,Hope,371
337,Gus,303,Wilda,370
338,Lionel,302,Lorena,367
339,Benny,299,Linda,365
340,Cyril,299,Deloris,364
341,Forest,299,Ophelia,364
342,Vito,299,Leila,363
343,Marcus,297,Florine,362
344,Miles,296,Eliza,361
345,Ed,293,Helena,358
346,Ned,293,Guadalupe,352
347,Alphonse,289,Corine,350
348,Claud,289,Dolly,350
349,Jean,289,Lou,350
350,Timothy,289,Earline,347
351,Randolph,284,Aline,345
352,Reginald,283,Lupe,343
353,Stewart,283,Amanda,341
354,Wiley,277,Lora,341
355,Adrian,276,Hester,340
356,Emery,276,Bernadette,339
357,Luis,276,Callie,339
358,Merrill,276,Ramona,339
359,Eli,275,Bobbie,338
360,Hollis,274,Pearlie,338
361,Sanford,273,Nola,335
