rank,male_name,male_count,female_name,female_count
1,John,9591,Mary,19259
2,William,7914,Helen,9250
3,James,7594,Margaret,7359
4,George,4688,Ruth,6509
5,Robert,4563,Dorothy,6253
6,Joseph,4348,Anna,5804
7,Charles,4029,Elizabeth,5176
8,Frank,3244,Mildred,5054
9,Edward,2935,Marie,4301
10,Thomas,2468,Alice,4170
11,Henry,2411,Florence,3789
12,Walter,2287,Frances,3780
13,Willie,2175,Ethel,3661
14,Harry,1924,Lillian,3596
15,Albert,1816,Gladys,3538
16,Harold,1725,Edna,3429
17,Paul,1676,Rose,3374
18,Arthur,1665,Evelyn,3157
19,Clarence,1518,Louise,3019
20,Raymond,1441,Irene,2961
21,Richard,1427,Grace,2912
22,Fred,1355,Annie,2904
23,Joe,1292,Catherine,2897
24,Louis,1231,Hazel,2708
25,Carl,1215,Gertrude,2622
26,Howard,1166,Thelma,2612
27,Jack,1150,Ruby,2524
28,Roy,1135,Martha,2510
29,David,1094,Bertha,2444
30,Ralph,1091,Virginia,2420
31,Earl,1007,Josephine,2416
32,Samuel,983,Clara,2403
33,Francis,886,Edith,2371
34,Ernest,885,Emma,2338
35,Lawrence,854,Bessie,2276
36,Charlie,833,Lucille,2192
37,Herbert,831,Esther,2185
38,Andrew,766,Beatrice,2105
39,Alfred,763,Elsie,2064
40,Anthony,758,Pearl,2048
41,Kenneth,746,Mabel,2007
42,Donald,725,Agnes,1974
43,Eugene,724,Myrtle,1950
44,Sam,700,Ida,1943
45,Elmer,687,Julia,1931
46,Leonard,665,Viola,1926
47,Michael,635,Eva,1896
48,Herman,618,Pauline,1896
49,Leo,609,Sarah,1845
50,Stanley,607,Minnie,1779
51,Theodore,595,Nellie,1768
52,Lee,584,Lillie,1634
53,Floyd,570,Katherine,1557
54,Daniel,569,Willie,1549
55,Leroy,568,Laura,1524
56,Peter,539,Ann,1478
57,Clifford,536,Eleanor,1460
58,Russell,528,Marion,1445
59,Jesse,517,Mattie,1407
60,Clyde,516,Ella,1382
61,Lester,501,Alma,1375
62,Edwin,492,Bernice,1337
63,Benjamin,489,Jessie,1321
64,Frederick,477,Doris,1298
65,Lewis,477,Lena,1295
66,Chester,475,Carrie,1276
67,Ray,475,Vera,1242
68,Bernard,463,Mae,1230
69,Eddie,462,Blanche,1217
70,Oscar,459,Stella,1188
71,Melvin,448,Lucy,1175
72,Cecil,432,Leona,1167
73,Jessie,432,Lois,1157
74,Claude,419,Kathryn,1138
75,Norman,415,Hattie,1134
76,Lloyd,412,Anne,1110
77,Johnnie,401,Betty,1082
78,Philip,395,Marjorie,1082
79,Martin,391,Fannie,1071
80,Leon,377,Beulah,1052
81,Milton,369,Marguerite,1036
82,Alvin,363,Opal,1028
83,Harvey,361,Jennie,998
84,Ben,358,Mamie,974
85,Marvin,354,Cora,969
86,Edgar,347,Ellen,960
87,Luther,347,Rosa,959
88,Tom,340,Ada,945
89,Victor,320,Violet,945
