rank,male_name,male_count,female_name,female_count
1,John,9829,Mary,16706
2,William,8579,Helen,6343
3,James,7245,Anna,6114
4,George,5403,Margaret,5304
5,Charles,4099,Ruth,4765
6,Robert,3821,Elizabeth,4096
7,Joseph,3714,Florence,3920
8,Frank,3477,Ethel,3896
9,Edward,2720,Marie,3856
10,Henry,2606,Lillian,3414
11,Thomas,2557,Annie,3324
12,Walter,2298,Edna,3102
13,Harry,2272,Emma,3095
14,Willie,2113,Alice,3059
15,Arthur,1853,Bessie,3044
16,Albert,1741,Bertha,3019
17,Fred,1646,Grace,2942
18,Clarence,1483,Rose,2845
19,Paul,1288,Clara,2826
20,Harold,1246,Mildred,2800
21,Roy,1215,Gladys,2733
22,Joe,1179,Minnie,2673
23,Raymond,1150,Gertrude,2580
24,Richard,1141,Pearl,2512
25,Charlie,1124,Mabel,2509
26,Louis,1098,Frances,2495
27,Jack,1053,Dorothy,2491
28,Earl,1037,Martha,2437
29,Carl,1016,Hazel,2425
30,Ernest,1012,Ida,2285
31,Ralph,896,Irene,2264
32,David,885,Myrtle,2252
33,Samuel,877,Eva,2089
34,Sam,821,Catherine,2081
35,Howard,779,Louise,2070
36,Herbert,751,Edith,2068
37,Andrew,718,Sarah,2055
38,Elmer,699,Elsie,2045
39,Lee,675,Esther,2017
40,Lawrence,659,Lillie,2004
41,Francis,652,Agnes,1914
42,Alfred,640,Ella,1911
43,Will,603,Nellie,1850
44,Daniel,598,Mattie,1834
45,Eugene,587,Laura,1824
46,Leo,570,Julia,1766
47,Oscar,563,Josephine,1743
48,Floyd,555,Carrie,1711
49,Herman,550,Viola,1674
50,Jesse,536,Hattie,1553
51,Michael,495,Ruby,1541
52,Lewis,469,Lena,1506
53,Tom,469,Jessie,1422
54,Leonard,465,Mae,1406
55,Ray,457,Cora,1389
56,Clyde,451,Beatrice,1382
57,Benjamin,450,Alma,1372
58,Peter,443,Willie,1351
59,Claude,433,Mamie,1337
60,Lester,431,Blanche,1332
61,Theodore,429,Lucy,1246
62,Russell,427,Fannie,1237
63,Eddie,425,Lula,1237
64,Frederick,420,Jennie,1204
65,Leroy,419,Katherine,1201
66,Clifford,409,Marion,1197
67,Anthony,406,Lucille,1182
68,Jim,399,Stella,1177
69,Jessie,397,Rosa,1118
70,Martin,383,Evelyn,1116
71,Edgar,374,Pauline,1104
72,Chester,364,Ada,1101
73,Ben,355,Thelma,1094
74,Edwin,350,Virginia,1068
75,Dewey,345,Maggie,1045
76,Cecil,344,Vera,1024
77,Stanley,342,Maude,1013
78,Lloyd,337,Beulah,974
79,Donald,328,Dora,958
80,Homer,326,Susie,946
81,Harvey,322,Daisy,931
82,Luther,316,Ellen,922
83,Norman,316,Nora,919
84,Johnnie,313,Sadie,895
85,Leon,310,Leona,825
86,Bernard,308,Marguerite,786
87,Ed,297,Georgia,765
88,Hugh,290,Eleanor,753
89,Patrick,285,Effie,752
90,Kenneth,279,Della,748
91,Leslie,275,May,744
92,Victor,269,Ann,736
93,Alexander,261,Kathryn,721
94,Philip,259,Nettie,711
95,Oliver,256,Olive,705
96,Mack,250,Bernice,702
97,Horace,244,Lottie,690
98,Milton,242,Sallie,676
99,Guy,240,Nancy,673
100,Everett,237,Betty,664
101,Jacob,233,Hilda,663
102,Melvin,231,Theresa,659
103,Charley,224,Lizzie,657
104,Allen,223,Lydia,644
105,Alvin,223,Emily,626
106,Earnest,223,Flora,623
107,Ira,218,Katie,618
108,Sidney,218,Anne,614
109,Archie,216,Violet,614
110,Otis,212,Charlotte,602
111,Virgil,212,Marjorie,601
112,Julius,206,Inez,588
113,Jerry,205,Ollie,585
114,Percy,201,Lola,584
115,Otto,199,Lois,577
116,Isaac,198,Rosie,576
117,Bill,196,Doris,557
118,Glenn,194,Estelle,556
119,Maurice,193,Addie,541
120,Alex,192,Alberta,541
121,Dan,192,Loretta,535
122,Warren,191,Lela,530
123,Hubert,189,Etta,508
124,Marion,189,Mable,506
125,Lonnie,186,Eunice,503
126,Nathan,186,Rebecca,503
127,Stephen,181,Goldie,502
128,Wesley,181,Jane,495
129,Vincent,177,Essie,492
130,Marvin,176,Henrietta,491
131,Manuel,174,Iva,483
132,Willard,172,Jean,473
133,Vernon,170,Ora,463
134,Willis,169,Harriet,461
135,Dave,166,Caroline,455
