rank,male_name,male_count,female_name,female_count
1,John,24587,Mary,32304
2,William,19626,Helen,16133
3,James,17644,Dorothy,12645
4,Robert,12837,Margaret,12535
5,Joseph,12062,Ruth,11280
6,George,11734,Mildred,8764
7,Charles,11070,Anna,8586
8,Edward,7936,Elizabeth,8528
9,Frank,7912,Frances,6680
10,Thomas,6087,Marie,6642
11,Walter,5808,Alice,6285
12,Henry,5644,Florence,5739
13,Harold,5102,Evelyn,5620
14,Paul,4785,Lillian,5568
15,Arthur,4685,Rose,5431
16,Harry,4624,Edna,5136
17,Albert,4587,Louise,5116
18,Raymond,4374,Ethel,5073
19,Richard,4188,Gladys,4980
20,Louis,3591,Virginia,4810
21,Clarence,3590,Catherine,4666
22,Willie,3508,Irene,4646
23,Ralph,3435,Ruby,4452
24,Carl,3224,Grace,4418
25,Howard,3212,Hazel,4197
26,Fred,3103,Thelma,4183
27,Donald,2872,Annie,4083
28,Jack,2870,Josephine,3980
29,David,2858,Martha,3911
30,Samuel,2602,Gertrude,3887
31,Roy,2591,Edith,3841
32,Ernest,2569,Lucille,3763
33,Kenneth,2538,Esther,3569
34,Earl,2518,Clara,3480
35,Francis,2516,Emma,3357
36,Joe,2515,Bertha,3288
37,Anthony,2480,Beatrice,3205
38,Lawrence,2467,Pauline,3163
39,Herbert,2236,Eleanor,3120
40,Alfred,2210,Agnes,2945
41,Eugene,2114,Sarah,2919
42,Michael,2104,Elsie,2895
43,Stanley,2017,Bessie,2832
44,Andrew,1946,Julia,2825
45,Leonard,1928,Ida,2740
46,Woodrow,1843,Mabel,2714
47,Elmer,1840,Ann,2666
48,Peter,1679,Doris,2657
49,Leo,1654,Eva,2636
50,Herman,1646,Myrtle,2599
51,Frederick,1564,Bernice,2593
52,Theodore,1561,Viola,2550
53,Daniel,1524,Katherine,2546
54,Edwin,1518,Pearl,2528
55,Chester,1460,Marion,2522
56,Russell,1449,Marjorie,2468
57,Charlie,1446,Laura,2413
58,Lester,1443,Anne,2369
59,Floyd,1438,Nellie,2365
60,Bernard,1437,Minnie,2295
61,Norman,1367,Willie,2267
62,Clifford,1345,Alma,2183
63,Sam,1325,Lois,2146
64,Milton,1319,Jean,2056
65,Clyde,1314,Jessie,2052
66,Leroy,1306,Betty,2011
67,Benjamin,1272,Lillie,2003
68,Lewis,1247,Vera,1974
69,Philip,1237,Ella,1921
70,Lloyd,1227,Mattie,1915
71,Melvin,1185,Kathryn,1905
72,Vincent,1178,Lena,1903
73,Oscar,1157,Stella,1834
74,Jesse,1106,Mae,1775
75,Martin,1064,Blanche,1761
76,Cecil,1057,Leona,1650
77,Ray,1050,Sylvia,1639
78,Lee,1030,Lucy,1636
79,Leon,1006,Marguerite,1620
80,Sidney,1003,Beulah,1607
81,Victor,989,Jennie,1595
82,Morris,960,Carrie,1580
83,Marvin,958,Violet,1535
84,Glenn,948,Vivian,1487
85,Edgar,945,Opal,1465
86,Alvin,929,Ellen,1449
87,Gerald,929,Fannie,1425
88,Stephen,928,Velma,1403
89,Claude,890,Jane,1390
90,Vernon,889,Hattie,1389
91,Harvey,875,Charlotte,1375
92,Wilbur,832,Genevieve,1353
93,Gordon,822,Marian,1313
94,Irving,815,Rosa,1305
95,Maurice,811,Mamie,1273
96,Everett,806,Ada,1268
97,Alexander,803,Theresa,1268
98,Homer,794,Cora,1253
99,Arnold,767,Wilma,1241
100,Julius,758,Inez,1228
101,Max,734,Georgia,1196
102,Ben,731,Barbara,1184
103,Allen,730,Juanita,1182
104,Eddie,718,Hilda,1158
105,Willard,718,Emily,1147
106,Johnnie,709,Alberta,1133
107,Warren,697,Lula,1094
108,Leslie,693,Nancy,1078
109,Jessie,692,Eunice,1066
110,Jacob,691,Dora,1061
111,Virgil,684,Estelle,1053
112,Marion,680,Daisy,1044
113,Nicholas,676,Harriet,1043
114,Luther,664,Sadie,1032
115,Gilbert,649,Maggie,1013
116,Hugh,648,Geneva,991
117,Oliver,645,Sophie,989
118,Wayne,617,Kathleen,985
119,Horace,615,Loretta,978
120,Nathan,581,Susie,976
121,Curtis,566,Sara,962
122,Hubert,544,Geraldine,949
123,Steve,543,Christine,944
124,Tom,538,Madeline,942
125,Abraham,533,Mable,919
126,Otis,522,Verna,914
127,Roland,522,Lola,903
128,Wallace,507,Flora,899
129,Franklin,497,Lucile,882
130,Archie,496,Nora,882
131,Wilson,496,Olive,874
132,Earnest,486,Naomi,834
133,Jerome,486,Maria,828
134,Wesley,485,Maxine,823
135,Alex,482,Henrietta,822
136,Orville,477,Sally,821
137,Manuel,469,Norma,800
138,Roger,464,Rosie,793
139,Glen,460,Caroline,785
140,Guy,455,Phyllis,779
141,Rudolph,453,Erma,774
142,Willis,453,Lottie,772
143,Edmund,452,Nettie,762
144,Patrick,431,Rebecca,754
145,Mike,430,Audrey,745
146,Emil,407,Irma,743
147,Jerry,405,Eula,742
148,Clifton,404,Della,733
149,Jim,401,Katie,732
150,Otto,398,Victoria,711
151,Marshall,397,Rachel,703
152,Ira,394,Lydia,701
153,Tony,394,May,698
154,Bennie,392,Olga,696
155,Angelo,384,Essie,695
156,Matthew,380,Muriel,695
157,Calvin,375,Roberta,693
158,Salvatore,374,Goldie,688
159,Dale,371,Miriam,686
160,Jimmie,366,Amelia,672
161,Clinton,362,Effie,666
162,Isaac,359,Winifred,662
163,Jose,356,Ollie,644
164,Nathaniel,356,Sallie,637
165,Douglas,350,Rita,636
166,Nelson,349,Jeanette,623
