rank,male_name,male_count,female_name,female_count
1,Michael,88514,Mary,68005
2,James,86288,Linda,55381
3,Robert,86288,Deborah,54683
4,John,81166,Patricia,49144
5,David,79532,Susan,47158
6,William,61420,Debra,45886
7,Richard,57026,Barbara,36374
8,Thomas,47156,Karen,32455
9,Gary,37910,Nancy,30264
10,Charles,37443,Cynthia,27617
11,Steven,36609,Donna,27429
12,Mark,36199,Pamela,27366
13,Joseph,31201,Sandra,26061
14,Donald,29268,Kathleen,22460
15,Ronald,27596,Carol,22249
16,Paul,26220,Sharon,22211
17,Kenneth,26160,Diane,22046
18,Daniel,25263,Brenda,19600
19,Larry,24605,Janet,18466
20,Stephen,21872,Elizabeth,16581
21,Dennis,20752,Margaret,15225
22,Edward,19514,Cheryl,15011
23,Jeffrey,19050,Kathy,14166
24,George,18687,Denise,13715
25,Gregory,17611,Janice,13514
26,Timothy,17436,Rebecca,13209
27,Terry,15550,Carolyn,12156
28,Kevin,15322,Joyce,12090
29,Douglas,14702,Judy,11635
30,Bruce,14140,Judith,11196
31,Jerry,13664,Beverly,11160
32,Anthony,13128,Catherine,11081
33,Randy,12624,Shirley,10911
34,Roger,11709,Teresa,10839
35,Raymond,11238,Marilyn,10812
36,Frank,10997,Betty,10614
37,Peter,10078,Gail,9723
38,Patrick,9920,Paula,9690
39,Lawrence,9601,Connie,9635
40,Scott,9451,Joan,9518
41,Wayne,9163,Robin,9046
42,Danny,9095,Gloria,8914
43,Alan,8710,Christine,8787
44,Gerald,8541,Ann,8754
45,Keith,8359,Laura,8715
46,Ricky,8159,Martha,8594
47,Carl,8133,Theresa,8508
48,Brian,8078,Peggy,8454
49,Walter,7479,Jane,8349
50,Dale,7445,Vicki,8219
51,Craig,7183,Kathryn,8139
52,Arthur,6860,Bonnie,8099
53,Willie,6839,Jo,8055
54,Johnny,6603,Rose,8003
55,Randall,6540,Dorothy,7794
56,Roy,6502,Jean,7663
57,Jack,6469,Diana,7625
58,Stanley,6438,Wanda,7448
59,Henry,6401,Cathy,7212
60,Harold,6341,Sheila,7199
61,Ralph,6299,Virginia,7178
62,Philip,6276,Sherry,7122
63,Glenn,6238,Lynn,6781
64,Christopher,6074,Katherine,6737
65,Billy,6035,Maria,6590
66,Rodney,5958,Ruth,6567
67,Joe,5865,Rita,6541
68,Barry,5833,Jacqueline,6514
69,Russell,5761,Vickie,6368
70,Andrew,5649,Julie,6279
71,Samuel,5638,Rhonda,6100
72,Bobby,5502,Helen,5944
73,Albert,5437,Lisa,5908
74,Jimmy,5338,Elaine,5824
75,Phillip,5149,Phyllis,5762
76,Steve,5063,Darlene,5509
77,Eugene,5027,Ellen,5454
78,Ronnie,4981,Joanne,5431
79,Martin,4966,Marie,5312
80,Howard,4928,Anne,5299
81,Louis,4845,Alice,5267
82,Allen,4828,Suzanne,5234
83,Frederick,4745,Frances,5158
84,Curtis,4596,Sally,5077
85,Leonard,4485,Victoria,4978
86,Harry,4355,Marsha,4964
87,Ernest,4199,Valerie,4920
88,Micheal,4184,Terry,4790
89,Eric,4172,Michele,4766
90,Jeffery,3936,Marcia,4745
91,Eddie,3765,Cindy,4713
92,Melvin,3709,Debbie,4672
93,Fred,3694,Doris,4455
94,Francis,3686,Michelle,4429
95,Darrell,3641,Wendy,4417
96,Lee,3563,Anita,4408
97,Marvin,3498,Maureen,4368
98,Earl,3417,Laurie,4287
99,Norman,3411,Leslie,4147
100,Tommy,3406,Terri,4131
101,Rick,3372,Sylvia,4085
102,Jay,3368,Roberta,4045
103,Vincent,3366,Sarah,4040
104,Victor,3363,Marian,4013
105,Tony,3346,Anna,3998
106,Bradley,3232,Sue,3977
107,Jose,3231,Jill,3967
108,Clarence,3181,Jennifer,3966
109,Kim,3167,Lois,3953
110,Dean,3166,Evelyn,3949
111,Jon,3156,Constance,3839
112,Clifford,3142,Jeanne,3764
113,Rickey,3125,Charlotte,3759
114,Jerome,3109,Glenda,3734
115,Theodore,3073,Eileen,3680
116,Alfred,3051,Dianne,3639
117,Calvin,3009,Yvonne,3560
118,Ray,2975,Angela,3543
119,Jesse,2760,Colleen,3483
120,Don,2746,Lorraine,3463
121,Jonathan,2739,Lori,3440
122,Gordon,2736,Gwendolyn,3411
123,Bernard,2728,Stephanie,3367
124,Matthew,2686,Dawn,3353
125,Leroy,2640,Loretta,3243
126,Warren,2616,Charlene,3241
127,Joel,2595,Julia,3155
128,Herbert,2592,Norma,3103
129,Edwin,2545,Joann,3063
130,Mike,2500,Beth,3034
131,Glen,2493,Jan,2993
132,Benjamin,2451,Renee,2979
133,Marc,2401,Kim,2936
134,Nicholas,2370,Sheryl,2932
135,Alvin,2367,Carla,2890
136,Duane,2319,Andrea,2721
137,Leslie,2232,Regina,2715
138,Garry,2214,Louise,2689
139,Dan,2162,Amy,2674
140,Leon,2140,Irene,2658
141,Mitchell,2139,Marlene,2652
142,Lloyd,2116,Vanessa,2644
143,Vernon,2097,Geraldine,2573
144,Guy,2096,Juanita,2550
145,Dwight,2036,Claudia,2516
146,Lonnie,1974,Kay,2506
147,Gilbert,1959,Gayle,2497
148,Neil,1957,Jeanette,2488
149,Jackie,1956,Audrey,2454
150,Allan,1952,Annie,2412
151,Gene,1900,Joy,2368
152,Floyd,1870,June,2363
153,Juan,1866,Toni,2300
154,Brad,1850,Annette,2281
155,Wesley,1843,Patsy,2280
156,Lewis,1834,Vivian,2276
157,Franklin,1820,Lynne,2265
158,Reginald,1809,Roxanne,2230
159,Chris,1799,Marjorie,2222
160,Robin,1788,Rosemary,2189
161,Clyde,1774,Shelley,2177
162,Donnie,1767,Ruby,2143
163,Randolph,1764,Penny,2136
164,Lester,1753,Sara,2125
165,Karl,1739,Rosa,2105
166,Dana,1738,Holly,2093
167,Kent,1723,Patti,2093
168,Kurt,1694,Kimberly,2091
169,Manuel,1681,Arlene,2076
170,Kerry,1662,Melissa,2061
171,Jimmie,1621,Vicky,2041
172,Carlos,1611,Marianne,2031
173,Leo,1607,Lynda,2023
174,Jim,1591,Dolores,1962
175,Milton,1581,Yolanda,1961
176,Bill,1527,Melinda,1952
177,Gerard,1520,Delores,1950
178,Freddie,1494,Melanie,1861
179,Stuart,1493,Becky,1849
180,Daryl,1468,Mildred,1835
181,Harvey,1459,Monica,1827
182,Charlie,1452,Rachel,1804
183,Johnnie,1443,Janis,1791
184,Terrence,1439,Carmen,1781
185,Chester,1420,Jackie,1733
186,Herman,1417,Josephine,1719
187,Lynn,1415,Eva,1714
188,Tom,1390,Edna,1682
189,Rex,1380,Belinda,1681
190,Kirk,1376,Shelia,1668
191,Ted,1344,Veronica,1640
192,Darryl,1330,Luann,1638
193,Roland,1322,Esther,1631
194,Cecil,1301,Lillian,1630
195,Todd,1289,Ramona,1612
196,Arnold,1281,Jacquelyn,1602
197,Oscar,1269,Lydia,1556
198,Ruben,1259,Candace,1555
199,Perry,1255,Melody,1548
200,Fredrick,1236,Lucy,1533
201,Alexander,1235,Georgia,1532
202,Brent,1230,Emma,1527
203,Maurice,1228,Carole,1507
204,Bryan,1227,Lou,1494
205,Nathaniel,1226,Janie,1493
206,Tyrone,1225,Margie,1488
207,Antonio,1166,Nina,1486
208,Claude,1144,Paulette,1480
209,Terrance,1122,Sherri,1469
210,Marshall,1101,Edith,1424
211,Ricardo,1094,Pauline,1422
212,Neal,1086,Dianna,1411
213,Mario,1072,Grace,1410
214,Byron,1046,Christina,1388
215,Clifton,1042,Bobbie,1384
216,Sidney,1021,Lee,1356
217,Luis,1018,Dana,1352
218,Rickie,1004,Emily,1340
219,Ross,1000,Marion,1337
220,Jessie,994,Lucille,1331
221,Jeff,978,Carrie,1310
222,Wallace,977,Priscilla,1308
223,Aaron,975,Wilma,1302
224,Nathan,961,Marla,1297
225,Kelly,960,Billie,1278
226,Greg,955,Gladys,1262
227,Wendell,947,Patty,1250
228,Nelson,946,Thelma,1240
229,Gregg,944,Debora,1239
230,Hugh,938,Tina,1238
231,Lance,922,Vera,1219
232,Morris,917,Bonita,1201
233,Edgar,912,Mona,1191
234,Benny,911,Clara,1183
235,Marcus,896,Ethel,1175
236,Randal,895,Patrice,1164
237,Lyle,889,Nora,1160
238,Sam,871,Bertha,1159
239,Clayton,844,Maryann,1149
240,Carlton,835,Doreen,1137
241,Dave,830,Karla,1137
242,Marion,829,Eleanor,1117
243,Francisco,827,Willie,1109
244,Tim,814,Ella,1099
245,Jesus,791,Faye,1097
246,Clinton,787,Jody,1096
247,Rocky,785,Dale,1094
248,Raul,779,Beatrice,1085
249,Bradford,771,Bernice,1076
250,Sammy,771,Sherrie,1071
251,Earnest,769,Rosie,1069
252,Jan,769,Lynette,1068
253,Roberto,762,Ida,1061
254,Everett,757,Lillie,1047
255,Wade,755,Miriam,1046
256,Ben,752,Hazel,1035
257,Otis,752,Florence,1033
258,Bennie,747,Claire,1031
259,Virgil,744,Gale,1015
260,Alex,743,Alma,1011
261,Max,743,Francine,1005
262,Clark,717,Betsy,1003
263,Laurence,711,Bernadette,1000
264,Andre,709,Lucinda,997
265,Ira,709,Maxine,989
266,Frankie,701,Jamie,987
267,Bob,697,Cecilia,986
268,Troy,697,Deanna,981
269,Loren,687,Nadine,980
270,Willard,676,Myra,960
271,Rudy,672,Antoinette,958
272,Elmer,671,Irma,953
273,Luther,670,April,949
274,Geoffrey,667,Kathie,948
275,Terence,659,Robyn,946
276,Rudolph,653,Teri,937
277,Hector,645,Sheri,935
278,Salvatore,639,Susie,927
279,Myron,635,Alicia,923
280,Sylvester,635,Jeannie,920
281,Rodger,624,Joni,918
282,Grant,623,Jayne,912
283,Ramon,619,Dora,905
284,Horace,612,Therese,890
285,Miguel,611,Gina,889
286,Roosevelt,609,Laurel,880
287,Darrel,608,Cathleen,870
288,Edmund,608,Heidi,866
289,Delbert,604,Kristine,866
290,Pedro,602,Ginger,861
291,Alton,597,Jeannette,855
292,Malcolm,594,Stella,850
293,Julius,590,Jana,847
294,Stewart,587,Jenny,827
295,Mickey,584,Iris,820
296,Isaac,583,Naomi,817
297,Fernando,576,Janine,813
298,Angelo,572,Lana,811
299,Denis,572,Cheri,809
300,Roderick,572,Marguerite,789
301,Van,572,Jennie,783
302,Kenny,570,Jeri,771
303,Monte,570,Trudy,771
304,Armando,569,Caroline,770
305,Felix,563,Jessie,762
306,Jacob,561,Shelly,759
307,Sherman,556,Crystal,758
308,Unknown,547,Rosanne,755
309,Archie,542,Dixie,747
310,Dwayne,537,Velma,747
