rank,male_name,male_count,female_name,female_count
1,Michael,92695,Mary,61092
2,James,84270,Susan,45951
3,David,82358,Linda,44500
4,Robert,81706,Debra,42738
5,John,78981,Karen,40585
6,William,56829,Deborah,40070
7,Mark,52802,Cynthia,39321
8,Richard,52397,Patricia,39275
9,Thomas,44578,Barbara,29683
10,Steven,36823,Donna,28042
11,Charles,34252,Nancy,27508
12,Joseph,31806,Pamela,25016
13,Gary,29508,Brenda,24320
14,Kenneth,28035,Sharon,24284
15,Donald,27859,Sandra,22766
16,Daniel,27305,Cheryl,22641
17,Ronald,27181,Diane,22079
18,Paul,26983,Carol,21902
19,Timothy,24726,Cindy,20262
20,Kevin,24270,Kathy,20231
21,Jeffrey,23957,Kathleen,19739
22,Larry,21912,Elizabeth,17497
23,Gregory,21447,Janet,15748
24,Stephen,19710,Teresa,15684
25,Edward,18699,Denise,15138
26,Brian,17518,Lisa,15134
27,Anthony,17038,Debbie,14378
28,Dennis,16896,Julie,13636
29,George,16868,Margaret,13009
30,Douglas,16724,Robin,12577
31,Randy,16453,Laura,12175
32,Scott,15738,Janice,11963
33,Terry,15603,Carolyn,11569
34,Bruce,13876,Rebecca,11487
35,Jerry,13265,Kim,11427
36,Keith,12424,Theresa,11179
37,Peter,11593,Catherine,11147
38,Frank,11266,Judy,10544
39,Raymond,10804,Cathy,10317
40,Ricky,10569,Joyce,10149
41,Patrick,10341,Christine,9577
42,Roger,9860,Kimberly,9447
43,Christopher,8966,Diana,9426
44,Steve,8913,Ann,9042
45,Danny,8818,Lori,8965
46,Lawrence,8741,Shirley,8847
47,Wayne,8665,Connie,8761
48,Alan,8208,Beverly,8552
49,Carl,8188,Paula,8544
50,Dale,7877,Betty,8477
51,Gerald,7593,Vicki,8104
52,Jeffery,7506,Rhonda,8043
53,Mike,7244,Judith,8025
54,Russell,7220,Gail,7941
55,Craig,7062,Sherry,7810
56,Andrew,6990,Jane,7782
57,Joe,6761,Darlene,7780
58,Walter,6710,Sheila,7759
59,Randall,6675,Wanda,7707
60,Eric,6615,Joan,7583
61,Johnny,6494,Lynn,7436
62,Glenn,6260,Peggy,7381
63,Willie,6207,Martha,7364
64,Billy,6147,Bonnie,7242
65,Roy,6061,Kathryn,7205
66,Arthur,6058,Gloria,7115
67,Jack,6021,Jean,7045
68,Philip,6012,Terri,6967
69,Martin,5956,Rose,6900
70,Rodney,5864,Vickie,6840
71,Tony,5862,Maria,6769
72,Barry,5786,Katherine,6635
73,Ronnie,5765,Laurie,6543
74,Harold,5749,Dorothy,6399
75,Henry,5743,Virginia,6240
76,Ralph,5710,Valerie,6225
77,Jimmy,5667,Leslie,6101
78,Bobby,5616,Rita,6016
79,Phillip,5539,Michelle,5981
80,Curtis,5339,Tina,5856
81,Stanley,5265,Anita,5813
82,Samuel,5233,Marilyn,5737
83,Matthew,5223,Jo,5720
84,Albert,5040,Ruth,5667
85,Micheal,4841,Ellen,5582
86,Louis,4690,Jennifer,5481
87,Rick,4668,Anne,5480
88,Jay,4629,Angela,5328
89,Howard,4617,Victoria,5328
90,Darrell,4569,Phyllis,5308
91,Allen,4428,Jacqueline,5287
92,Eugene,4404,Terry,5262
93,Dean,4371,Dawn,5158
94,Leonard,4329,Joanne,5105
95,Eddie,4109,Helen,5017
96,Jeff,4092,Elaine,5010
97,Victor,4089,Annette,4890
98,Vincent,4068,Marie,4862
99,Frederick,3997,Michele,4743
100,Harry,3796,Jill,4731
101,Ernest,3782,Wendy,4704
102,Tommy,3673,Suzanne,4660
103,Fred,3639,Maureen,4601
104,Joel,3600,Sue,4493
105,Lee,3595,Anna,4445
106,Jim,3542,Alice,4435
107,Bradley,3527,Tammy,4364
108,Rickey,3520,Beth,4354
109,Jon,3469,Sylvia,4306
110,Jose,3469,Stephanie,4214
111,Marvin,3412,Renee,4171
112,Ray,3410,Sheryl,4129
113,Melvin,3397,Frances,4093
114,Calvin,3392,Amy,4076
115,Bryan,3371,Sally,3997
116,Don,3355,Sarah,3989
117,Tom,3350,Jeanne,3947
118,Norman,3335,Colleen,3889
119,Chris,3256,Doris,3726
120,Tim,3256,Eileen,3708
121,Dan,3190,Roberta,3702
122,Earl,3134,Julia,3688
123,Bill,3120,Regina,3663
124,Jonathan,3044,Yvonne,3644
125,Mitchell,3019,Evelyn,3635
126,Jerome,2998,Marcia,3544
127,Greg,2972,Becky,3523
128,Francis,2938,Carla,3465
129,Glen,2926,Lorraine,3418
130,Clifford,2890,Andrea,3370
131,Alfred,2821,Loretta,3347
132,Theodore,2755,Gwendolyn,3296
133,Jesse,2738,Charlotte,3259
134,Edwin,2710,Glenda,3198
135,Clarence,2627,Dianne,3181
136,Duane,2613,Charlene,3148
137,Bernard,2528,Joann,3056
138,Benjamin,2490,Penny,3043
139,Marc,2479,Marianne,3022
140,Gordon,2462,Jan,2989
141,Kurt,2425,Norma,2978
142,Reginald,2418,Vicky,2945
143,Todd,2402,Joy,2928
