rank,male_name,male_count,female_name,female_count
1,Robert,62147,Mary,64146
2,James,53944,Betty,38233
3,John,52432,Dorothy,30407
4,William,47259,Helen,19914
5,Richard,32178,Margaret,18351
6,Charles,31863,Barbara,18281
7,Donald,29046,Patricia,15752
8,George,22779,Joan,15480
9,Joseph,20981,Doris,15467
10,Edward,17347,Ruth,14940
11,Thomas,17013,Shirley,14776
12,Paul,12960,Virginia,13199
13,Frank,12539,Dolores,12838
14,Jack,12431,Jean,11984
15,David,12272,Elizabeth,10995
16,Raymond,11715,Frances,10646
17,Kenneth,11701,Lois,10114
18,Harold,11659,Joyce,9658
19,Walter,9728,Evelyn,9536
20,Billy,9284,Alice,9517
21,Eugene,9028,Mildred,9351
22,Henry,8593,Marilyn,9287
23,Arthur,8279,Anna,9079
24,Albert,7942,Nancy,9069
25,Ralph,7638,Norma,8510
26,Carl,6953,Marie,8426
27,Joe,6878,Martha,7831
28,Harry,6847,Phyllis,7770
29,Willie,6668,Rose,7691
30,Gerald,6482,Gloria,7603
31,Howard,6341,Louise,6941
32,Fred,6044,Marjorie,6632
33,Roy,5916,Irene,6463
34,Louis,5809,Beverly,6456
35,Herbert,5671,Catherine,6298
36,Lawrence,5636,Ruby,5991
37,Ronald,5634,Donna,5979
38,Earl,5566,Florence,5865
39,Clarence,5496,Eleanor,5822
40,Norman,5296,Annie,5754
41,Bobby,5181,Ann,5531
42,Francis,4990,Rita,5468
43,Ernest,4784,Lillian,5449
44,Anthony,4678,Geraldine,5448
45,Leonard,4659,Thelma,5246
46,Alfred,4555,Lorraine,5164
47,Daniel,4465,June,5094
48,Marvin,4401,Gladys,5064
49,Stanley,4383,Josephine,4987
50,Melvin,4049,Theresa,4781
51,Jerry,3892,Edna,4763
52,Bernard,3832,Pauline,4654
53,Leroy,3806,Janet,4601
54,Michael,3545,Carol,4598
55,Samuel,3528,Jane,4574
56,Peter,3266,Wanda,4525
57,Ray,3250,Juanita,4514
58,Roger,3247,Bernice,4436
59,Bill,3157,Lucille,4328
60,Russell,3100,Marion,4305
61,Floyd,3077,Edith,4272
62,Andrew,3057,Grace,4218
63,Leo,3033,Audrey,4128
64,Dale,2993,Clara,4124
65,Wayne,2981,Ethel,4100
66,Edwin,2974,Delores,4098
67,Theodore,2959,Peggy,4084
68,Don,2921,Wilma,4074
69,Lloyd,2837,Elaine,3953
70,Gene,2783,Sarah,3919
71,Glenn,2760,Hazel,3887
72,Vernon,2703,Carolyn,3725
73,Frederick,2696,Emma,3555
74,Clifford,2695,Jacqueline,3413
75,Philip,2653,Charlotte,3405
76,Clyde,2631,Beatrice,3392
77,Gordon,2613,Esther,3349
78,Herman,2595,Bonnie,3269
79,Alvin,2512,Billie,3241
80,Elmer,2478,Marian,3213
81,Leon,2399,Joanne,3153
82,Lee,2360,Rosemary,3151
83,Martin,2326,Anne,3093
84,Vincent,2316,Kathleen,3074
85,Allen,2279,Katherine,3032
86,Jimmie,2254,Eva,3019
87,Lewis,2245,Willie,3018
88,Bob,2242,Elsie,2971
89,Douglas,2166,Laura,2908
90,Gilbert,2117,Julia,2879
91,Charlie,2113,Vivian,2872
92,Harvey,2062,Jeanne,2720
93,Milton,2053,Maxine,2700
94,Jesse,2035,Ida,2644
95,Lester,2020,Bertha,2603
96,Warren,2011,Gertrude,2554
97,Eddie,1970,Patsy,2543
98,Arnold,1949,Sally,2543
99,Cecil,1881,Maria,2541
100,Victor,1842,Ellen,2522
101,Johnny,1820,Kathryn,2515
102,Jimmy,1800,Agnes,2509
103,Chester,1790,Arlene,2507
104,Johnnie,1785,Vera,2492
105,Jerome,1769,Loretta,2483
106,Curtis,1723,Jeanette,2434
107,Larry,1720,Ella,2404
108,Roland,1720,Bessie,2383
109,Bruce,1711,Alma,2381
110,Sam,1669,Eileen,2378
111,Calvin,1619,Lillie,2365
112,Wallace,1618,Margie,2241
113,Jose,1600,Nellie,2212
114,Benjamin,1596,Jessie,2196
115,Glen,1595,Anita,2184
116,Maurice,1552,Viola,2161
117,Willard,1535,Georgia,2156
118,Patrick,1531,Joann,2131
119,Edgar,1526,Lucy,2121
120,Duane,1520,Violet,2098
121,Manuel,1520,Pearl,2069
122,Claude,1483,Minnie,2007
123,Billie,1473,Myrtle,1996
124,Oscar,1466,Christine,1992
125,Jim,1462,Roberta,1950
126,Marion,1389,Janice,1930
127,Tommy,1387,Velma,1918
128,Virgil,1370,Mattie,1891
129,Dean,1364,Rosa,1878
130,Keith,1355,Leona,1872
131,Hugh,1341,Jo,1871
132,Tom,1336,Sylvia,1830
133,Jessie,1330,Geneva,1798
134,Everett,1325,Sara,1769
135,Junior,1323,Bobbie,1765
136,Alan,1303,Claire,1653
137,Hubert,1275,Mae,1651
138,Stephen,1258,Harriet,1598
139,Leslie,1239,Naomi,1594
140,Rudolph,1218,Stella,1569
141,Wilbur,1213,Darlene,1544
142,Wesley,1186,Dora,1499
143,Max,1182,Genevieve,1497
144,Phillip,1175,Lena,1491
145,Dennis,1174,Carrie,1466
146,Homer,1170,Constance,1464
147,Nicholas,1132,Alberta,1463
148,Luther,1107,Eunice,1438
149,Franklin,1078,Ramona,1410
150,Sidney,1074,Mabel,1369
151,Delbert,1015,Verna,1358
152,Morris,1007,Jennie,1352
153,Earnest,991,Emily,1344
154,Ben,987,Rosie,1343
155,Allan,985,Muriel,1342
156,Ted,983,Opal,1328
157,Jackie,974,Lula,1315
158,Horace,972,Hilda,1302
159,Willis,968,Marguerite,1289
160,Lyle,948,Hattie,1284
161,Dick,940,Cora,1273
162,Bennie,915,Lola,1270
163,Tony,912,Joy,1268
164,Juan,907,Rachel,1261
165,Dan,898,Yvonne,1242
166,Jay,891,Fannie,1225
167,Salvatore,880,Sue,1213
168,Alexander,871,Beulah,1210
169,Steve,863,Erma,1207
170,Oliver,851,Lila,1203
171,Freddie,839,Inez,1174
172,Otis,829,Caroline,1160
173,Darrell,828,Madeline,1144
174,Guy,827,Flora,1142
175,Neil,825,Rosalie,1119
176,Julius,812,Rebecca,1113
177,Edmund,807,Faye,1099
178,Clayton,801,Laverne,1096
179,Archie,768,Blanche,1093
180,Alex,759,Irma,1084
181,Carroll,757,Daisy,1062
182,Alton,756,Eula,1053
183,Ramon,756,Miriam,1052
184,Clifton,754,Carmen,1044
185,Nathaniel,753,Ada,1040
186,Jesus,752,Marcella,1034
187,Orville,748,Mamie,1029
188,Marshall,741,Eloise,1023
189,Antonio,736,Imogene,1023
190,Angelo,729,Nora,1014
191,Lowell,722,Bettie,1005
192,Wilbert,719,Susan,1004
193,Gary,716,Nina,996
194,Lonnie,716,Teresa,993
195,Merle,712,Charlene,987
196,Myron,712,Jeannette,987
197,Mike,711,Mable,978
198,Leland,706,Antoinette,975
199,Ira,703,Ernestine,959
200,Bobbie,696,Gwendolyn,959
201,Clinton,693,Colleen,945
202,Wendell,672,Judith,943
203,Ivan,668,Iris,939
204,Matthew,657,Rosemarie,926
205,Dewey,653,Susie,922
206,Karl,648,Johnnie,912
207,Irving,643,Della,887
208,Rodney,639,Deloris,882
209,Nelson,630,Estelle,872
210,Nick,630,Melba,862
211,Ervin,625,Lorene,856
212,Jacob,622,Angelina,833
213,Elbert,609,Priscilla,824
