rank,male_name,male_count,female_name,female_count
1,Robert,60798,Mary,73532
2,John,59052,Dorothy,39997
3,William,53515,Helen,31191
4,James,52944,Betty,30602
5,Charles,30465,Margaret,26550
6,George,27373,Ruth,23601
7,Joseph,25426,Virginia,18624
8,Richard,21244,Mildred,15854
9,Edward,21125,Doris,15785
10,Donald,17929,Frances,15183
11,Thomas,16557,Elizabeth,14951
12,Frank,16042,Evelyn,13354
13,Harold,14153,Anna,13079
14,Paul,13339,Marie,11577
15,Raymond,12872,Alice,11538
16,Walter,12697,Jean,10724
17,Jack,11924,Marjorie,10069
18,Henry,11196,Irene,9930
19,Kenneth,10355,Shirley,9488
20,Arthur,10174,Florence,9469
21,Albert,9880,Martha,9317
22,Harry,9114,Lois,9300
23,Ralph,8766,Lillian,9098
24,David,8758,Louise,8854
25,Eugene,8348,Rose,8480
26,Howard,7370,Ruby,8406
27,Carl,7087,Catherine,8363
28,Louis,7040,Barbara,8307
29,Clarence,6895,Eleanor,8192
30,Willie,6703,Gladys,7791
31,Roy,6557,Edna,7409
32,Fred,6532,Annie,7349
33,Earl,6529,Thelma,7318
34,Francis,6132,Josephine,7275
35,Joe,6044,Patricia,6958
36,Lawrence,5775,Edith,6891
37,Ernest,5685,Lucille,6745
38,Leonard,5602,Pauline,6721
39,Anthony,5193,Ethel,6584
40,Stanley,5187,Norma,6542
41,Herbert,5121,Gloria,6534
42,Norman,5044,Hazel,6343
43,Alfred,4928,Grace,6329
44,Calvin,4917,Phyllis,6267
45,Samuel,4594,June,6150
46,Bernard,4505,Marion,6046
47,Daniel,4403,Bernice,6033
48,Melvin,4169,Juanita,5404
49,Gerald,4153,Rita,5381
50,Marvin,4023,Beatrice,5269
51,Leo,3989,Esther,5258
52,Russell,3947,Lorraine,5108
53,Leroy,3924,Jane,5104
54,Michael,3872,Sarah,5044
55,Edwin,3791,Ann,5035
56,Andrew,3746,Clara,4990
57,Elmer,3732,Emma,4899
58,Warren,3583,Geraldine,4833
59,Peter,3520,Katherine,4695
60,Ray,3370,Gertrude,4543
61,Lloyd,3348,Elsie,4498
62,Frederick,3278,Julia,4289
63,Billy,3270,Agnes,4241
64,Clifford,3249,Marian,4196
65,Theodore,3226,Bertha,4122
66,Floyd,3167,Eva,4067
67,Chester,3031,Wilma,4064
68,Vernon,3008,Nancy,3990
69,Clyde,3003,Willie,3989
70,Herman,2952,Ida,3861
71,Philip,2922,Vivian,3850
72,Lester,2779,Laura,3827
73,Alvin,2759,Elaine,3801
74,Wayne,2730,Wanda,3733
75,Gordon,2714,Dolores,3729
76,Leon,2675,Kathleen,3663
77,Lewis,2670,Maxine,3659
78,Vincent,2639,Pearl,3635
79,Glenn,2585,Anne,3629
80,Charlie,2504,Charlotte,3612
81,Milton,2475,Kathryn,3598
82,Martin,2453,Viola,3578
83,Lee,2419,Joyce,3532
84,Dale,2396,Audrey,3521
85,Cecil,2299,Vera,3476
86,Jesse,2290,Bessie,3404
87,Wallace,2282,Alma,3241
88,Harvey,2242,Violet,3224
89,Benjamin,2221,Myrtle,3205
90,Victor,2189,Jeanne,3150
91,Sam,2121,Jessie,3147
92,Bill,2067,Nellie,3075
93,Roger,2054,Eileen,3069
94,Allen,2044,Ella,3061
95,Arnold,2014,Joan,3023
96,Edgar,1878,Theresa,3021
97,Willard,1835,Lillie,2980
98,Roland,1823,Lucy,2979
99,Oscar,1818,Ellen,2949
100,Gilbert,1796,Minnie,2885
101,Johnnie,1739,Marilyn,2860
102,Maurice,1714,Margie,2831
103,Claude,1706,Leona,2794
104,Everett,1695,Sylvia,2757
105,Douglas,1676,Stella,2752
106,Wilbur,1667,Rosemary,2734
107,Leslie,1664,Genevieve,2725
108,Manuel,1664,Mabel,2652
109,Homer,1647,Mattie,2600
110,Stephen,1636,Geneva,2582
111,Virgil,1627,Jennie,2495
112,Marion,1616,Lena,2410
113,Eddie,1596,Georgia,2396
114,Jerome,1575,Mae,2370
115,Hubert,1551,Christine,2325
116,Hugh,1541,Sara,2313
117,Curtis,1529,Bonnie,2296
118,Glen,1519,Janet,2295
119,Sidney,1501,Maria,2292
120,Morris,1499,Opal,2284
121,Junior,1495,Beverly,2283
122,Nicholas,1488,Arlene,2276
123,Jerry,1468,Velma,2272
124,Jessie,1459,Loretta,2261
125,Don,1451,Marguerite,2247
