rank,male_name,male_count,female_name,female_count
1,Michael,83789,Lisa,56037
2,John,78636,Mary,41550
3,David,78474,Susan,33997
4,James,71327,Karen,32486
5,Robert,70016,Linda,27717
6,Mark,49353,Donna,25398
7,William,44478,Patricia,25369
8,Richard,40787,Lori,23907
9,Thomas,35504,Sandra,21617
10,Jeffrey,31721,Cynthia,21594
11,Kevin,30620,Kimberly,21230
12,Scott,30415,Tammy,21193
13,Joseph,30101,Deborah,21061
14,Steven,29346,Pamela,20585
15,Timothy,27194,Brenda,19605
16,Charles,26784,Laura,18507
17,Paul,26678,Barbara,18289
18,Kenneth,25241,Teresa,17966
19,Daniel,24824,Sharon,17794
20,Brian,24123,Elizabeth,17590
21,Gregory,21432,Debra,17333
22,Anthony,20241,Julie,16306
23,Ronald,19781,Nancy,16268
24,Gary,18923,Cheryl,15048
25,Donald,18907,Robin,14434
26,Christopher,18356,Michelle,14383
27,Edward,15317,Denise,14091
28,Douglas,15100,Kathleen,13543
29,Stephen,14991,Christine,13388
30,Todd,14796,Angela,13279
31,Eric,13275,Diane,13198
32,Terry,12459,Kelly,12554
33,Keith,12245,Carol,12493
34,George,12084,Kathy,12220
35,Patrick,12065,Tina,12158
36,Larry,11674,Jennifer,11757
37,Randy,10533,Cindy,11086
38,Jerry,10195,Theresa,11040
39,Dennis,9832,Kim,10682
40,Peter,9622,Janet,10667
41,Frank,9533,Debbie,10436
42,Andrew,9521,Paula,10143
43,Bruce,9286,Maria,9828
44,Mike,9045,Rebecca,9392
45,Raymond,8788,Rhonda,9354
46,Jeffery,8488,Margaret,9303
47,Ricky,8113,Laurie,9270
48,Jeff,8099,Tracy,9071
49,Steve,8047,Sherry,9066
50,Matthew,8034,Sheila,8708
51,Craig,7901,Jacqueline,8554
52,Tony,7879,Dawn,8418
53,Roger,7750,Catherine,8292
54,Carl,7132,Amy,8232
55,Danny,7097,Connie,8164
56,Alan,6935,Carolyn,8122
57,Russell,6706,Ann,7976
58,Joe,6382,Terri,7703
59,Chris,6339,Michele,7512
60,Gerald,6160,Wendy,7336
61,Vincent,6152,Melissa,7320
62,Martin,6071,Diana,7308
63,Wayne,6036,Janice,7071
64,Troy,5973,Stephanie,6821
65,Glenn,5971,Suzanne,6819
66,Randall,5971,Beth,6677
67,Barry,5958,Cathy,6319
68,Lawrence,5709,Jill,6303
69,Dale,5695,Valerie,6173
70,Phillip,5652,Judy,6134
71,Johnny,5423,Annette,6046
72,Curtis,5371,Leslie,5857
73,Bryan,5258,Lynn,5826
74,Billy,5234,Renee,5775
75,Bobby,5214,Jane,5765
76,Rodney,5188,Wanda,5589
77,Walter,5065,Anita,5470
78,Jimmy,5041,Sherri,5456
79,Tim,5015,Gina,5336
80,Darryl,5012,Anne,5329
81,Greg,4852,Beverly,5282
82,Bradley,4770,Carla,5267
83,Philip,4757,Bonnie,5226
84,Jon,4752,Joyce,5224
85,Jay,4720,Darlene,5155
86,Dean,4619,Penny,5127
87,Samuel,4522,Katherine,5126
88,Jonathan,4469,Dana,5048
89,Roy,4431,Andrea,5005
90,Allen,4339,Martha,4883
91,Arthur,4274,Judith,4738
92,Jim,4236,Regina,4713
93,Willie,4191,Kathryn,4702
94,Henry,4184,Sarah,4574
95,Harold,4098,Joan,4560
96,Darrell,4094,Gloria,4536
97,Victor,4054,Jean,4482
98,Jose,4020,Colleen,4444
99,Ralph,3931,Shirley,4384
100,Albert,3887,Vicki,4363
101,Ronnie,3821,Melanie,4268
102,Jack,3818,Anna,4251
103,Tom,3698,Virginia,4214
104,Louis,3622,Betty,4153
105,Stanley,3541,Gail,4105
106,Micheal,3537,Peggy,4105
107,Tommy,3496,Christina,4022
108,Shawn,3461,Maureen,4008
109,Eddie,3353,Marie,4006
110,Joel,3235,Monica,3997
111,Eugene,3219,Tamara,3981
112,Rick,3218,Ellen,3941
113,Bill,3200,Ruth,3870
114,Howard,3158,Joanne,3855
115,Dwayne,3139,Rita,3805
116,Kurt,3129,Dorothy,3792
117,Frederick,3126,Shelly,3791
118,Leonard,3049,Tracey,3703
119,Lee,3019,Rose,3699
120,Marvin,2974,Vickie,3634
121,Tracy,2925,Melinda,3575
122,Ernest,2907,Julia,3571
123,Marc,2896,Terry,3523
124,Dan,2828,Helen,3340
125,Brent,2813,Marilyn,3316
126,Kelly,2728,Becky,3306
127,Mitchell,2711,Stacey,3303
128,Jerome,2664,Sylvia,3283
129,Brett,2608,Stacy,3261
130,Duane,2595,Victoria,3246
131,Ray,2581,Phyllis,3243
132,Reginald,2570,Holly,3135
133,Melvin,2546,Elaine,3124
134,Fred,2528,Deanna,3122
135,Don,2523,Sheryl,3105
136,Karl,2512,Sheri,3093
137,Harry,2496,Yvonne,3075
138,Kirk,2484,Alice,3065
139,Norman,2481,Veronica,3014
140,Calvin,2402,Eileen,2937
141,Kent,2402,Heidi,2937
142,Theodore,2383,Jackie,2820
143,Glen,2360,Carrie,2817
144,Benjamin,2350,Jeanne,2805
145,Adam,2343,Sandy,2801
146,Brad,2276,Frances,2746
147,Juan,2247,Sally,2744
148,Edwin,2237,Shelley,2734
149,Jesse,2231,Charlene,2730
150,Sean,2200,Belinda,2688
151,Clifford,2199,Joann,2655
152,Warren,2186,Toni,2619
153,Francis,2173,Charlotte,2595
154,Earl,2157,Sue,2594
155,Nicholas,2135,Lorraine,2592
156,Carlos,2112,Yolanda,2581
157,Wesley,2097,Crystal,2578
158,Gordon,2084,Jeanette,2569
159,Darren,2081,Evelyn,2566
160,Aaron,2078,Jamie,2549
161,Dave,1998,Loretta,2506
162,Alfred,1987,Sara,2485
163,Clarence,1960,Norma,2460
164,Derrick,1948,Shari,2453
165,Bernard,1943,Darla,2390
166,Lance,1873,Pam,2385
167,Bob,1845,Tonya,2367
168,Gregg,1748,Carmen,2344
169,Guy,1743,Roberta,2324
170,Kerry,1722,Yvette,2284
171,Perry,1712,Gwendolyn,2258
172,Andre,1703,Tammie,2245
173,Antonio,1700,Alicia,2217
174,Doug,1689,Lynne,2201
175,Rickey,1680,April,2195
176,Leroy,1644,Patty,2193
177,Derek,1637,Jo,2190
178,Ken,1635,Joy,2182
179,Kyle,1630,Rachel,2179
180,Gilbert,1629,Marcia,2156
181,Dana,1620,Doris,2126
182,Manuel,1614,Melody,2094
183,Tyrone,1611,Heather,2089
184,Daryl,1609,Tami,2079
185,Ron,1593,Shelia,2061
186,Marty,1589,Shannon,2052
187,Stuart,1588,Glenda,2048
188,Ted,1579,Vanessa,2031
189,Lonnie,1575,Karla,2008
190,Vernon,1574,Natalie,1995
191,Gene,1562,Marsha,1952
192,Leslie,1556,Teri,1938
193,Lloyd,1550,Vicky,1935
194,Nathan,1543,Sonya,1919
195,Franklin,1521,Juanita,1915
196,Herbert,1504,Jodi,1900
197,Jason,1504,Dianne,1897
198,Alvin,1500,Tanya,1848
199,Maurice,1490,Audrey,1799
200,Andy,1484,Doreen,1798
201,Leon,1476,Irene,1759
202,Luis,1454,Patti,1754
203,Kenny,1452,Vivian,1748
204,Dwight,1450,Kristine,1747
205,Neil,1446,Rosemary,1732
206,Wade,1405,Jody,1725
207,Joey,1383,Robyn,1696
208,Timmy,1376,Caroline,1689
209,Robin,1358,Felicia,1664
210,Kelvin,1331,Ronda,1650
211,Ricardo,1324,Cassandra,1648
212,Marcus,1322,Kay,1606
213,Mario,1318,Lora,1599
214,Alex,1306,Lynda,1589
215,Alexander,1306,Constance,1583
216,Floyd,1296,Kristin,1580
217,Lewis,1282,Lois,1580
218,Ruben,1259,Jan,1562
219,Byron,1243,Marlene,1556
220,Allan,1222,Roxanne,1528
221,Charlie,1165,Rosa,1513
222,Donnie,1154,Dianna,1511
223,Arnold,1141,Sherrie,1493
224,Ross,1127,Kelley,1482
225,Jimmie,1119,Lee,1479
226,Lester,1102,Marianne,1467
227,Neal,1096,Eva,1456
228,Gerard,1076,Bridget,1448
229,Wendell,1075,Ramona,1435
230,Roland,1072,Allison,1434
231,Jackie,1060,Chris,1422
232,Roberto,1045,Kristi,1421
233,Nathaniel,1024,Kimberley,1413
234,Clayton,1022,Alison,1388
235,Oscar,1021,Kelli,1384
236,Sam,1017,Ruby,1381
237,Johnnie,1016,Angie,1376
238,Leo,1015,June,1368
239,Terrence,1015,Louise,1319
240,Clyde,1004,Jana,1310
241,Jesus,995,Lorie,1307
242,Milton,992,Jenny,1302
243,Roderick,990,Traci,1301
244,Clinton,986,Leah,1300
245,Rex,982,Arlene,1297
246,Nelson,979,Lydia,1291
247,Chuck,973,Marjorie,1282
248,Hector,960,Nina,1273
249,Ben,945,Grace,1272
250,Randolph,916,Lauren,1258
251,Randal,914,Lynette,1251
252,Freddie,913,Priscilla,1245
253,Matt,906,Ginger,1224
254,Jessie,905,Christy,1210
255,Jamie,901,Erin,1199
256,Garry,896,Sonia,1168
257,Harvey,890,Cheri,1167
258,Travis,887,Lillian,1165
259,Robbie,884,Kerry,1164
260,Miguel,882,Carole,1151
261,Nick,872,Janine,1135
262,Raul,851,Tara,1129
263,Shane,851,Esther,1123
264,Kim,848,Jessica,1121
265,Herman,845,Annie,1120
266,Cecil,822,Kellie,1120
267,Geoffrey,821,Debora,1118
268,Fredrick,812,Dolores,1114
269,Terrance,810,Emily,1108
270,Terence,809,Gayle,1108
271,Ramon,799,Maryann,1106
272,Hugh,796,Jacquelyn,1097
273,Clifton,789,Joni,1089
274,Bret,788,Marla,1088
275,Angelo,782,Kari,1083
276,Marshall,780,Katrina,1079
277,Grant,779,Betsy,1077
278,Francisco,775,Nora,1068
279,Cary,765,Geraldine,1060
280,Carlton,763,Antoinette,1054
281,Damon,752,Josephine,1053
282,Claude,742,Margie,1041
283,Pat,737,Amanda,1035
284,Frankie,734,Pauline,1033
285,Jody,734,Bernadette,1020
286,Chester,733,Lorrie,1019
287,Clark,729,Shawn,1016
288,Lynn,717,Kristen,1015
289,Rene,715,Tracie,1015
290,Darin,712,Mona,1009
291,Rudy,707,Claudia,1005
292,Sammy,707,Delores,1000
293,Everett,705,Edith,999
294,Cedric,694,Sonja,997
295,Loren,692,Dina,995
296,Orlando,678,Leigh,981
297,Jorge,676,Susie,977
298,Christian,673,Therese,969
