rank,male_name,male_count,female_name,female_count
1,John,9388,Mary,9217
2,William,8897,Anna,3860
3,James,5693,Emma,2587
4,George,4961,Elizabeth,2549
5,Charles,4802,Minnie,2243
6,Frank,3218,Margaret,2142
7,Joseph,2707,Ida,1882
8,Thomas,2572,Clara,1852
9,Henry,2474,Bertha,1789
10,Robert,2468,Annie,1739
11,Edward,2439,Alice,1732
12,Harry,2323,Florence,1570
13,Walter,1902,Grace,1525
14,Arthur,1690,Sarah,1518
15,Fred,1638,Bessie,1451
16,Albert,1435,Martha,1443
17,Samuel,945,Nellie,1417
18,Clarence,889,Ethel,1386
19,Louis,886,Ella,1374
20,Grover,802,Mabel,1270
21,David,761,Laura,1246
22,Joe,759,Carrie,1245
23,Richard,749,Cora,1244
24,Charlie,746,Maude,1225
25,Ernest,690,Pearl,1138
26,Roy,680,Lillian,1109
27,Jesse,670,Edith,1104
28,Will,650,Gertrude,1063
29,Andrew,616,Jennie,1063
30,Oscar,615,Rose,1060
31,Willie,578,Mattie,1007
32,Daniel,573,Hattie,993
33,Sam,533,Helen,986
34,Peter,524,Myrtle,979
35,Elmer,523,Louise,962
36,Carl,521,Edna,957
37,Alfred,520,Julia,935
38,Benjamin,509,Eva,929
39,Lewis,476,Lula,916
40,Earl,464,Lillie,911
41,Ralph,464,Lena,906
42,Frederick,454,Jessie,888
43,Lee,435,Catherine,874
44,Howard,432,Ada,854
45,Paul,422,Josephine,800
46,Herbert,421,Frances,789
47,Tom,394,Lucy,787
48,Herman,385,Maggie,749
49,Martin,385,Marie,746
50,Jacob,381,Fannie,738
51,Michael,373,Dora,720
52,Ben,367,Blanche,711
53,Harvey,358,Agnes,703
54,Claude,353,Daisy,685
55,Jim,346,Katherine,671
56,Clyde,345,Nora,648
57,Francis,340,Mamie,609
58,Chester,338,Rosa,607
59,Eugene,321,Ellen,597
60,Ed,314,Stella,584
61,Edwin,308,May,564
62,Raymond,299,Effie,558
63,Charley,290,Elsie,549
64,Edgar,290,Mae,542
65,Otto,288,Della,541
66,Ira,284,Lizzie,523
67,Bert,280,Nettie,522
68,Jack,274,Nancy,520
69,Luther,273,Sallie,494
70,Floyd,263,Alma,480
71,Lawrence,262,Sadie,466
72,Guy,260,Maud,461
73,Hugh,246,Susie,455
74,Oliver,245,Ruth,442
75,Isaac,243,Etta,423
76,Alexander,236,Lottie,397
77,Ray,232,Flora,393
78,Patrick,222,Caroline,380
79,Homer,216,Mollie,374
80,August,213,Lydia,369
81,Theodore,211,Emily,364
82,Archie,206,Viola,362
83,Leonard,206,Katie,360
84,Leo,192,Olive,360
85,Harold,191,Addie,356
86,Marion,184,Charlotte,344
87,Allen,182,Kate,344
88,Anthony,179,Kathryn,344
89,Eddie,179,Lulu,344
90,Jessie,177,Georgia,341
91,Emil,175,Harriet,339
92,Cleveland,174,Amanda,337
93,Stephen,165,Willie,332
94,Warren,164,Susan,326
95,Julius,162,Irene,324
96,Philip,161,Amelia,315
97,Dave,159,Nannie,314
98,Horace,154,Jane,295
99,Leroy,154,Esther,291
100,Dan,151,Belle,286
101,Willis,151,Eliza,280
102,Clifford,150,Rebecca,278
103,Leon,150,Hannah,275
104,Milton,150,Ollie,275
105,Alex,148,Virginia,263
106,Alvin,145,Ora,251
107,Sidney,142,Mildred,247
108,Bernard,140,Matilda,244
109,Calvin,139,Ruby,244
110,Amos,137,Anne,242
111,Perry,135,Henrietta,240
112,Everett,134,Theresa,240
113,Norman,130,Beulah,233
114,Percy,126,Pauline,230
115,Leslie,125,Rachel,230
116,Jess,124,Estella,222
117,Victor,124,Augusta,217
118,Lester,123,Ann,214
119,Lloyd,122,Iva,213
120,Jerry,121,Lela,213
121,Wesley,120,Leona,210
122,Mack,119,Hazel,209
123,Gus,117,Amy,205
124,Matthew,117,Eleanor,198
125,Rufus,117,Josie,198
126,Maurice,115,Lola,197
127,Dennis,113,Sara,197
128,Alonzo,112,Barbara,193
129,Jose,112,Maria,190
130,Jay,110,Mayme,190
131,Ross,110,Nina,187
132,Earnest,109,Estelle,182
133,Adolph,107,Marion,181
134,Otis,107,Evelyn,170
135,Russell,107,Sophia,170
136,Stanley,105,Beatrice,167
137,Felix,102,Dorothy,163
138,Wallace,102,Callie,161
139,Clinton,101,Luella,158
140,Gilbert,100,Rosie,152
141,Nathan,100,Allie,148
142,Aaron,97,Essie,148
143,Hiram,97,Inez,148
144,Mark,96,Louisa,147
145,Melvin,95,Lou,146
146,Noah,94,Winifred,146
147,Franklin,93,Delia,145
148,Jake,92,Tillie,145
149,Roscoe,92,Betty,144
150,Levi,91,Millie,144
151,Owen,91,Alta,140
152,Elbert,90,Mable,139
153,Manuel,90,Goldie,135
154,Nelson,89,Ina,134
155,Phillip,89,Christine,129
156,Willard,89,Birdie,128
157,Cornelius,88,Hilda,125
158,Lonnie,88,Victoria,124
159,Marshall,88,Celia,122
160,Virgil,88,Janie,122
161,Fredrick,86,Ola,121
162,Irvin,86,Nell,120
163,Claud,85,Sophie,120
164,Elijah,85,Bettie,118
165,Simon,85,Isabelle,115
166,Mike,84,Adeline,112
167,Adam,83,Eunice,112
168,Emmett,83,Eula,111
169,Jasper,83,Cecelia,109
170,Silas,83,Bess,105
171,Bill,82,Harriett,105
172,Reuben,82,Hettie,105
173,Wilbur,82,Jean,103
174,Ollie,81,Leila,103
175,Pete,81,Alberta,102
176,Irving,80,Isabel,102
177,Max,80,Lelia,102
178,Wiley,80,Roxie,100
179,Morris,78,Bertie,99
180,Wilson,78,Olga,99
181,Moses,77,Abbie,98
182,Rudolph,77,Adelaide,98
183,Timothy,77,Myra,98
184,Ike,76,Marguerite,95
185,Jeff,74,Mathilda,95
186,Cecil,73,Sally,95
187,Curtis,73,Cornelia,94
188,Ellis,73,Loretta,94
189,Harley,73,Lucille,94
190,Marvin,73,Rena,94
191,Edmund,72,Dollie,93
192,Austin,70,Rhoda,93
193,Clayton,69,Gladys,92
194,Nicholas,69,Nelle,92
195,Sherman,69,Sue,92
196,Christopher,68,Winnie,92
197,Mose,68,Vera,91
198,Ora,68,Genevieve,89
199,Abraham,67,Sylvia,87
200,Eli,67,Verna,87
201,Sylvester,67,Helena,86
202,Dock,66,Hulda,86
203,Steve,66,Katharine,86
204,Augustus,65,Lucinda,86
205,Cleve,65,Frieda,85
206,Anton,64,Hester,85
207,Harrison,63,Lois,84
208,Logan,63,Bernice,83
209,Alva,62,Christina,83
210,Barney,62,Elva,81
211,Blaine,62,Violet,81
212,Pearl,62,Leah,79
213,Glenn,61,Teresa,78
214,Hubert,61,Virgie,78
215,Solomon,60,Wilhelmina,77
216,Donald,59,Isabella,76
217,Gustave,58,Meta,76
218,Byron,57,Carolyn,75
219,Chris,57,Phoebe,75
220,Marcus,57,Linnie,74
221,Joel,56,Jeanette,73
222,Juan,56,Johanna,73
223,Millard,56,Lenora,73
224,Monroe,56,Lila,73
225,Nathaniel,56,Lura,73
226,Scott,56,Minerva,73
227,Andy,55,Lettie,72
228,Clark,55,Lora,72
229,Ferdinand,55,Adele,71
230,Matt,55,Flossie,70
231,Christian,54,Myrtie,70
232,Lon,54,Hallie,69
233,Mathew,53,Regina,67
234,Orville,53,Belva,66
235,Bennie,51,Fanny,66
236,Emery,51,Mittie,66
237,Ervin,51,Gertie,65
238,Vincent,51,Elnora,64
239,Wade,51,Cecilia,63
240,Bob,50,Geneva,63
241,Columbus,50,Jeannette,63
242,Edd,50,Lilly,63
243,Vernon,50,Selma,63
244,Arnold,49,Zella,63
245,Conrad,49,Gussie,62
246,Preston,49,Irma,62
247,Anderson,48,Dessie,61
248,Elias,48,Freda,61
249,Julian,48,Marian,61
250,Nick,48,Naomi,61
251,Don,47,Ophelia,61
252,Glen,47,Lily,60
253,Riley,47,Cynthia,59
254,Delbert,46,Elma,59
255,Johnnie,46,Leola,59
256,Abe,45,Madge,59
257,Emanuel,44,Cordelia,58
258,Louie,44,Zora,58
259,Arch,43,Lida,57
260,Asa,43,Dovie,56
261,Edmond,43,Francis,56
262,Ezra,43,Mina,56
263,Roland,43,Lucile,55
264,Bud,42,Malinda,55
265,Grant,41,Roberta,55
266,Joshua,41,Mabelle,54
267,Newton,41,Olivia,54
268,Tony,41,Alvina,53
269,Bruce,40,Emilie,53
270,Clifton,40,Erma,53
271,Chas,39,Rosalie,53
272,Elisha,39,Louella,52
273,Gordon,39,Elsa,51
274,Jefferson,39,Madeline,51
275,Luke,39,Bell,50
276,Miles,39,Claudia,50
277,Roger,39,Lee,48
278,Burton,38,Letha,48
279,Earle,38,Melissa,48
280,Emory,38,Orpha,48
281,Jeremiah,38,Polly,48
282,Van,38,Ivy,47
283,Ward,38,Sudie,47
284,Cyrus,37,Rosetta,46
285,Dick,37,Cassie,45
286,Jerome,37,Georgie,45
287,Lyman,37,Lessie,45
288,Ambrose,36,Marjorie,45
289,Douglas,36,Miriam,45
290,Forrest,36,Lina,44
291,Gustav,36,Pearle,44
292,Major,36,Tennie,44
293,Mary,36,Blanch,43
294,Neal,36,June,43
295,Jonas,35,Catharine,42
296,Antonio,34,Eugenia,42
297,Irwin,34,Frankie,42
298,Karl,34,Mertie,42
299,Mitchell,34,Norma,42
300,Wayne,34,Oma,42
301,Abner,33,Vina,42
302,Forest,33,Juanita,41
303,Jackson,33,Lorena,41
304,Morgan,33,Annette,40
305,Wilfred,33,Dorothea,40
306,Benjiman,32,Fern,40
307,Clay,32,George,40
308,Clem,32,Janet,40
309,Nels,32,John,40
310,Omer,32,Kittie,40
311,Royal,32,Mandy,40
312,Sanford,32,Neva,40
313,Spencer,32,Ona,40
314,Green,31,Priscilla,40
315,Lemuel,31,Corinne,39
316,Lucius,31,Elvira,39
317,Winfield,31,Fay,39
318,Allan,30,Leota,39
319,Enoch,30,Lyda,39
320,Garfield,30,Clare,38
321,Lorenzo,30,Floy,38
322,Loyd,30,Adelia,37
323,Ole,30,Artie,37
324,Pedro,30,Bridget,37
325,Abram,29,Margie,37
326,Archibald,29,Anita,36
327,Berry,29,Chloe,36
328,Burt,29,Dolly,36
329,Kenneth,29,Lilla,36
330,Washington,29,Savannah,36
331,Zack,29,Angeline,35
332,Emile,28,Antoinette,35
333,Johnie,28,Eda,35
334,Napoleon,28,Isabell,35
335,Ruben,28,Maudie,35
336,Dee,27,Susanna,35
337,Fletcher,27,Dona,34
338,Granville,27,Nola,34
339,Isom,27,Tena,34
340,Ivan,27,William,34
341,Josh,27,Adah,33
342,Lafayette,27,Claire,33
343,Lynn,27,James,33
344,Allie,26,Johnnie,33
345,Dudley,26,Linda,33
346,Elwood,26,Vesta,33
347,Frederic,26,Vinnie,33
348,Hans,26,Vivian,33
349,Jimmie,26,Angie,32
350,Pat,26,Ava,32
351,Wilbert,26,Bonnie,32
352,Emmet,25,Elisabeth,32
353,General,25,Jimmie,32
354,Hal,25,Lennie,32
355,Israel,25,Margret,32
356,Jason,25,Molly,32
357,Jean,25,Vida,32
358,Jordan,25,Bella,31
359,King,25,Charity,31
360,Boyd,24,Gracie,31
361,Carey,24,Julie,31
362,Carroll,24,Lue,31
363,Elza,24,Magdalena,31
364,Freeman,24,Melvina,31
365,Isiah,24,Zoe,31
366,Laurence,24,Antonia,30
367,Ned,24,Cleo,30
368,Oren,24,Almeda,29
369,Francisco,23,Cecile,29
370,Isaiah,23,Constance,29
371,Neil,23,Ernestine,29
372,Sim,23,Ila,29
373,Ulysses,23,Lona,29
374,Wilber,23,Mazie,29
375,Arther,22,Octavia,29
376,Clement,22,Zelma,29
377,Elliott,22,Berta,28
378,Evan,22,Elise,28
379,Josiah,22,Ellie,28
380,Milo,22,Hilma,28
381,Myron,22,Nona,28
382,Olin,22,Opal,28
383,Porter,22,Pattie,28
384,Warner,22,Veronica,28
385,Wm,22,Alpha,27
386,Chauncey,21,Dixie,27
387,Dwight,21,Kathleen,27
388,Gabriel,21,Rosella,27
389,Harmon,21,Vallie,27
390,Herschel,21,Zula,27
391,Jonathan,21,Besse,26
392,Judge,21,Helene,26
393,Leander,21,Leora,26
394,Rollie,21,Lucretia,26
395,Seth,21,Matie,26
396,Stewart,21,Sena,26
397,Taylor,21,Tessie,26
398,Tommie,21,Audrey,25
399,Alphonse,20,Cordie,25
400,Anna,20,Eddie,25
401,Carlton,20,Georgianna,25
402,Dewitt,20,Iola,25
403,Fay,20,Maybelle,25
404,Foster,20,Nan,25
405,Gust,20,Pansy,25
406,Harris,20,Pearlie,25
407,Lucian,20,Pinkie,25
408,Lucious,20,Rilla,25
409,Madison,20,Albina,24
410,Olaf,20,Dena,24
411,Pink,20,Docia,24
412,Raleigh,20,Joanna,24
413,Sterling,20,Marietta,24
414,Steven,20,Rita,24
415,Vern,20,Tina,24
416,Clarance,19,Doris,23
417,Dallas,19,Erna,23
418,Enos,19,Evie,23
419,Gerald,19,Faye,23
420,Hardy,19,Georgiana,23
421,Hosea,19,Jannie,23
422,Judson,19,Missouri,23
423,Loren,19,Rae,23
424,Merle,19,Una,23
425,Orin,19,Altha,22
426,Phil,19,Cecil,22
427,Sid,19,Clemmie,22
428,Simeon,19,Clyde,22
429,Sol,19,Donna,22
430,Walker,19,Idella,22
