rank,male_name,male_count,female_name,female_count
1,John,37948,Mary,45345
2,William,29753,Helen,23221
3,James,26263,Dorothy,18782
4,Robert,21188,Margaret,17763
5,Joseph,18829,Ruth,15839
6,George,17603,Anna,11865
7,Charles,16937,Mildred,11649
8,Edward,12318,Elizabeth,11367
9,Frank,12002,Frances,9677
10,Walter,8962,Marie,8829
11,Thomas,8850,Evelyn,8506
12,Henry,8110,Alice,8198
13,Paul,7733,Florence,7886
14,Harold,7563,Virginia,7601
15,Albert,6942,Rose,7574
16,Raymond,6821,Lillian,7354
17,Richard,6669,Louise,6648
18,Arthur,6641,Catherine,6613
19,Harry,6588,Edna,6289
20,Louis,5495,Gladys,6227
21,Ralph,5010,Ethel,6204
22,Clarence,4909,Irene,6197
23,Donald,4836,Josephine,5896
24,Carl,4807,Ruby,5625
25,Willie,4709,Grace,5594
26,Howard,4490,Thelma,5496
27,Jack,4486,Martha,5432
28,Fred,4441,Eleanor,5374
29,David,4251,Hazel,5324
30,Kenneth,4178,Lucille,5320
31,Francis,3901,Edith,5209
32,Roy,3852,Gertrude,4938
33,Earl,3842,Annie,4800
34,Joe,3712,Pauline,4699
35,Samuel,3704,Esther,4654
36,Lawrence,3703,Doris,4429
37,Anthony,3695,Clara,4240
38,Ernest,3632,Beatrice,4232
39,Stanley,3559,Emma,3972
40,Michael,3362,Ann,3888
41,Alfred,3346,Bertha,3859
42,Herbert,3253,Julia,3813
43,Eugene,3211,Bernice,3730
44,Andrew,2965,Agnes,3721
45,Leonard,2923,Marjorie,3711
46,Elmer,2878,Elsie,3683
47,Leo,2655,Sarah,3679
48,Peter,2624,Katherine,3652
49,Russell,2568,Ida,3561
50,Bernard,2436,Marion,3550
51,Herman,2430,Lois,3432
52,Frederick,2415,Eva,3401
53,Edwin,2386,Anne,3365
54,Norman,2335,Jean,3281
55,Daniel,2325,Bessie,3260
56,Chester,2289,Pearl,3223
57,Lester,2164,Viola,3204
58,Floyd,2090,Mabel,3131
59,Melvin,2064,Laura,3059
