rank,male_name,male_count,female_name,female_count
1,John,8238,Mary,13151
2,William,7274,Anna,5565
3,James,5110,Margaret,3700
4,George,4365,Helen,3676
5,Charles,3788,Elizabeth,3425
6,Joseph,2977,Ruth,3372
7,Frank,2863,Ethel,3287
8,Robert,2497,Florence,3233
9,Henry,2278,Emma,2937
10,Harry,2189,Marie,2649
11,Edward,2179,Clara,2603
12,Thomas,2170,Minnie,2592
13,Walter,2010,Bessie,2520
14,Arthur,1712,Bertha,2496
15,Fred,1475,Edna,2458
16,Albert,1447,Lillian,2441
17,Clarence,1185,Alice,2414
18,Roy,1018,Annie,2393
19,Willie,986,Grace,2361
20,Earl,896,Mabel,2221
21,Louis,869,Ida,2195
22,Carl,861,Rose,2126
23,Paul,824,Hazel,2103
24,Ernest,821,Martha,1968
25,Richard,808,Gertrude,1908
26,Samuel,776,Edith,1820
27,Raymond,767,Myrtle,1818
28,Joe,741,Pearl,1789
29,David,729,Frances,1776
30,Charlie,704,Nellie,1767
31,Ralph,692,Ella,1761
32,Harold,690,Laura,1730
33,Howard,612,Elsie,1716
34,Oscar,601,Sarah,1701
35,Andrew,594,Eva,1673
36,Herbert,585,Esther,1654
37,Elmer,575,Louise,1571
38,Jesse,567,Agnes,1470
39,Will,559,Carrie,1452
40,Alfred,521,Lillie,1432
41,Daniel,515,Catherine,1430
42,Leo,515,Lena,1360
43,Sam,507,Irene,1347
44,Benjamin,469,Hattie,1325
45,Lee,455,Julia,1320
46,Floyd,445,Cora,1319
47,Jack,441,Gladys,1258
48,Herman,433,Josephine,1256
49,Lawrence,430,Mattie,1238
50,Francis,423,Mildred,1220
51,Michael,423,Jennie,1210
52,Eugene,421,Alma,1177
53,Claude,419,Maude,1144
54,Frederick,413,Mae,1134
55,Peter,391,Jessie,1120
56,Clyde,386,Blanche,1091
57,Ray,379,Lucy,1077
58,Edwin,366,Dorothy,1052
59,Lewis,359,Mamie,1043
60,Leonard,343,Lula,1042
61,Tom,343,Stella,1035
62,Ben,326,Ada,1018
63,Chester,325,Fannie,1003
64,Edgar,313,Katherine,948
65,Clifford,307,Viola,906
66,Martin,299,Maggie,895
67,Harvey,293,Ruby,874
68,Jacob,292,Nora,854
69,Lester,291,Dora,827
70,Jim,287,Rosa,780
71,Luther,285,May,763
72,Russell,278,Ellen,759
73,Homer,273,Sadie,745
74,Otto,270,Effie,712
75,Hugh,269,Willie,709
76,Guy,261,Beatrice,684
