rank,male_name,male_count,female_name,female_count
1,Michael,85303,Jennifer,46157
2,James,61766,Lisa,38964
3,David,61753,Kimberly,34136
4,John,58520,Michelle,34048
5,Robert,57201,Amy,25211
6,Christopher,41775,Angela,24928
7,William,38910,Melissa,23739
8,Brian,31932,Tammy,19585
9,Mark,31494,Mary,19206
10,Richard,30452,Tracy,18467
11,Jeffrey,30156,Julie,17160
12,Scott,28591,Karen,16701
13,Jason,27288,Laura,16494
14,Kevin,26983,Christine,16061
15,Steven,26821,Susan,15739
16,Joseph,26732,Dawn,15682
17,Thomas,26685,Stephanie,15390
18,Eric,23574,Elizabeth,15119
19,Daniel,23528,Heather,14668
20,Timothy,22437,Kelly,14612
21,Charles,22432,Tina,13865
22,Anthony,21188,Shannon,13547
23,Paul,20209,Lori,13446
24,Matthew,20201,Patricia,13406
25,Kenneth,16817,Cynthia,12921
26,Gregory,16291,Pamela,12909
27,Stephen,14772,Sandra,11244
28,Todd,14430,Wendy,11099
29,Ronald,13616,Rebecca,10855
30,Donald,12404,Nicole,10691
31,Edward,12298,Michele,10096
32,Andrew,11999,Donna,9969
33,Patrick,11744,Deborah,9849
34,Shawn,10950,Teresa,9607
35,Gary,10726,Christina,9585
36,Douglas,10417,Denise,9343
37,Sean,10354,Sharon,9176
38,Keith,9614,Linda,8730
39,Craig,9379,Maria,8674
40,George,8919,Brenda,8335
41,Troy,8448,Barbara,8026
42,Jonathan,8204,Stacy,7774
43,Larry,8109,Andrea,7707
44,Peter,8056,Cheryl,7440
45,Jerry,7425,Kathleen,7409
46,Dennis,7318,Rhonda,7379
47,Bradley,6824,Debra,7199
48,Frank,6805,Stacey,7154
49,Raymond,6794,Tonya,7138
50,Jeffery,6706,Nancy,7064
51,Chad,6636,Robin,7003
52,Aaron,6583,Jill,6807
53,Bryan,6455,Theresa,6412
54,Terry,6190,Dana,6409
55,Rodney,5860,Tracey,6230
56,Jose,5696,Monica,6187
57,Tony,5482,Paula,6054
58,Russell,5116,Rachel,6028
59,Randy,5040,Catherine,6007
60,Marc,5012,Sherry,5915
61,Roger,4585,Gina,5876
62,Samuel,4559,Ann,5735
63,Chris,4464,Kristin,5635
64,Shane,4452,Leslie,5621
65,Johnny,4441,Sarah,5617
66,Gerald,4402,Jacqueline,5577
67,Carl,4399,Katherine,5443
68,Jon,4375,Renee,5374
69,Travis,4325,Tara,5330
70,Jeremy,4321,Diane,5185
71,Adam,4320,Carol,5063
72,Marcus,4316,Cindy,5048
73,Phillip,4280,Carrie,4977
74,Brent,4272,Holly,4942
75,Darren,4197,Sheila,4937
76,Lance,4166,Tanya,4863
77,Derek,4149,Kathy,4797
78,Billy,4127,Kim,4726
79,Vincent,4028,Tamara,4721
80,Wayne,4006,Margaret,4704
81,Benjamin,3930,Heidi,4643
82,Joel,3842,Kristen,4603
83,Lawrence,3823,April,4601
84,Corey,3815,Carolyn,4520
85,Danny,3765,Victoria,4460
86,Jimmy,3656,Regina,4433
87,Bobby,3636,Suzanne,4426
88,Curtis,3615,Laurie,4391
89,Walter,3587,Diana,4373
90,Joe,3571,Deanna,4331
91,Alan,3560,Melanie,4330
92,Philip,3518,Beth,4246
93,Martin,3509,Melinda,4225
94,Bruce,3485,Carla,4214
95,Juan,3474,Jodi,4184
96,Derrick,3447,Janet,4158
97,Jay,3421,Valerie,4132
98,Carlos,3384,Jessica,4023
99,Brett,3373,Tiffany,4001
100,Randall,3269,Traci,3854
101,Erik,3248,Crystal,3818
102,Darrell,3149,Anna,3796
103,Willie,3139,Shelly,3751
104,Henry,3131,Kathryn,3718
105,Ricky,3089,Christy,3714
106,Victor,3085,Yolanda,3591
107,Albert,3073,Sabrina,3567
108,Roy,3040,Amanda,3550
109,Glenn,3010,Kristine,3534
110,Dale,3002,Veronica,3492
111,Arthur,2983,Erin,3480
112,Dean,2941,Anne,3440
113,Steve,2934,Terri,3403
114,Allen,2933,Danielle,3372
115,Frederick,2890,Kelli,3331
116,Jeff,2882,Colleen,3328
117,Barry,2799,Connie,3324
118,Lee,2793,Alicia,3318
119,Jesse,2770,Lynn,3263
120,Kyle,2766,Jamie,3200
121,Antonio,2742,Julia,3179
122,Harold,2727,Sherri,3166
123,Nicholas,2699,Kristi,3148
124,Louis,2646,Tricia,3133
125,Jamie,2641,Kristina,3126
126,Micheal,2634,Sara,3060
127,Christian,2626,Anita,2894
128,Jack,2573,Annette,2890
129,Shannon,2573,Erica,2794
130,Brandon,2549,Bonnie,2747
131,Nathan,2548,Sonya,2740
132,Tyrone,2531,Wanda,2717
133,Ronnie,2515,Allison,2629
134,Andre,2508,Cassandra,2604
135,Kelly,2498,Vicki,2603
136,Alexander,2473,Krista,2589
137,Mike,2468,Cathy,2585
138,Justin,2382,Vanessa,2577
139,Ryan,2331,Felicia,2540
140,Brad,2327,Sheri,2400
141,Dwayne,2315,Yvonne,2374
142,Reginald,2310,Natalie,2370
143,Ernest,2306,Martha,2369
144,Leonard,2296,Shelley,2352
145,Luis,2286,Janice,2332
146,Eugene,2264,Virginia,2328
147,Ralph,2247,Tracie,2327
148,Tommy,2222,Debbie,2324
149,Kurt,2197,Samantha,2298
150,Joshua,2175,Beverly,2249
151,Eddie,2154,Katrina,2215
152,Wesley,2061,Carmen,2204
153,Marvin,2034,Jody,2201
154,Greg,2008,Marie,2186
155,Glen,1999,Darlene,2176
156,Howard,1996,Toni,2165
157,Stanley,1952,Penny,2145
158,Kirk,1919,Kellie,2130
159,Mario,1901,Jean,2109
160,Theodore,1830,Monique,2099
161,Daryl,1795,Becky,2071
162,Tracy,1774,Yvette,2052
163,Duane,1773,Gloria,2043
164,Cory,1763,Joyce,2031
165,Maurice,1741,Stacie,2019
166,Calvin,1733,Charlotte,1991
167,Edwin,1727,Charlene,1983
168,Jerome,1724,Shawn,1971
169,Harry,1697,Betty,1966
170,Manuel,1695,Joanne,1953
171,Melvin,1678,Erika,1942
172,Ricardo,1651,Trina,1933
173,Earl,1628,Emily,1931
174,Damon,1622,Peggy,1900
175,Clinton,1596,Tammie,1881
176,Clifford,1581,Kerry,1833
177,Karl,1576,Judy,1828
178,Neil,1567,Ruth,1817
179,Mitchell,1542,Bridget,1815
180,Darrin,1526,Dorothy,1799
181,Norman,1524,Kristie,1792
182,Warren,1506,Maureen,1789
183,Fred,1503,Rose,1777
184,Jody,1501,Joy,1774
185,Jesus,1484,Kimberley,1770
186,Terrence,1463,Sonia,1768
187,Ray,1461,Alison,1764
188,Darin,1441,Ellen,1759
189,Wade,1423,Sylvia,1727
190,Alfred,1414,Jeanette,1724
191,Alex,1403,Helen,1715
192,Francis,1390,Leah,1672
193,Clarence,1384,Judith,1670
194,Lonnie,1383,Kari,1667
195,Darryl,1367,Vickie,1647
196,Roberto,1365,Karla,1633
197,Miguel,1347,Kristy,1632
198,Tim,1327,Shirley,1629
199,Ruben,1326,Frances,1628
200,Adrian,1296,Belinda,1621
201,Geoffrey,1288,Alice,1620
202,Dustin,1285,Jane,1599
203,Don,1279,Rita,1588
204,Jim,1258,Jeanne,1582
205,Gabriel,1245,Joann,1557
206,Byron,1233,Tami,1556
207,Leon,1222,Dina,1547
208,Franklin,1221,Dena,1541
209,Francisco,1216,Kara,1502
210,Bernard,1189,Shawna,1500
211,Rick,1186,Robyn,1499
212,Stacy,1183,Kelley,1497
213,Terrance,1179,Leigh,1485
214,Gilbert,1170,Sheryl,1471
215,Leroy,1168,Raquel,1468
216,Kent,1153,Evelyn,1466
217,Joey,1139,Elaine,1437
218,Nathaniel,1134,Norma,1434
219,Tom,1130,Tonia,1429
220,Hector,1127,Candace,1427
221,Jorge,1124,Gail,1425
222,Ian,1119,Rosa,1424
223,Vernon,1088,Kerri,1416
224,Alvin,1087,Jenny,1410
225,Oscar,1045,Marsha,1382
226,Roderick,1039,Ginger,1381
227,Dana,1038,Aimee,1376
228,Raul,1037,Roberta,1375
229,Angel,1036,Caroline,1374
230,Herbert,1035,Jackie,1369
231,Dwight,1026,Loretta,1364
232,Bill,1021,Deana,1363
233,Dan,1021,Ronda,1355
234,Leslie,1013,Meredith,1354
235,Guy,1010,Lara,1332
236,Lewis,1001,Joanna,1329
237,Ramon,992,Lauren,1312
238,Gordon,991,Christie,1311
239,Lloyd,991,Audrey,1310
240,Shaun,989,Sonja,1310
241,Trevor,988,Joan,1307
242,Toby,983,Angie,1295
243,Kerry,967,Amber,1290
244,Andy,954,Marcia,1285
245,Rafael,946,Eileen,1281
246,Ted,944,Megan,1269
247,Gregg,942,Juanita,1264
248,Fredrick,941,Marilyn,1257
249,Jaime,935,Sally,1250
250,Gene,934,Sandy,1247
251,Marty,919,Gretchen,1245
252,Jacob,915,Claudia,1224
253,Donnie,914,Bobbie,1220
254,Javier,913,Gwendolyn,1220
255,Kelvin,912,Christa,1213
256,Casey,897,Lora,1202
257,Pedro,886,Shari,1200
258,Ross,881,Molly,1193
259,Cedric,879,Shelia,1192
260,Bret,871,Cheri,1180
261,Rene,869,Rochelle,1180
262,Trent,865,Melody,1176
263,Perry,844,Lorraine,1160
264,Clayton,834,Lynette,1158
265,Mathew,829,Alisa,1154
266,Jimmie,819,Kendra,1151
267,Allan,806,Misty,1151
268,Clint,805,Staci,1147
269,Seth,793,Terry,1114
270,Ron,784,Angel,1109
271,Bryant,782,Billie,1104
272,Grant,782,Jo,1102
273,Charlie,770,Marla,1090
274,Stuart,768,Teri,1075
275,Fernando,766,Irene,1070
276,Johnnie,765,Stefanie,1068
