rank,male_name,male_count,female_name,female_count
1,James,87431,Mary,67468
2,Robert,84134,Linda,52711
3,John,79261,Patricia,46296
4,William,60039,Barbara,45123
5,Richard,58865,Carol,34284
6,David,46437,Sandra,31692
7,Michael,41179,Nancy,28344
8,Thomas,38868,Susan,28266
9,Charles,38200,Sharon,27823
10,Ronald,31853,Judith,22307
11,Larry,28445,Judy,20479
12,Gary,26922,Carolyn,19900
13,Donald,26260,Donna,19769
14,Joseph,24279,Betty,19712
15,Kenneth,22035,Karen,19645
16,George,21572,Kathleen,18760
17,Dennis,21442,Margaret,18132
18,Paul,21055,Shirley,17866
19,Edward,18580,Diane,15831
20,Jerry,17562,Joyce,15211
21,Daniel,12867,Janet,14142
22,Frank,12663,Janice,14037
23,Roger,12413,Dorothy,12798
24,Stephen,11835,Brenda,12689
25,Raymond,11287,Elizabeth,11752
26,Terry,10676,Gloria,11687
27,Gerald,10026,Cheryl,11525
28,Steven,8878,Joan,11219
29,Wayne,8807,Marilyn,10711
30,Walter,8664,Beverly,10430
31,Lawrence,8516,Virginia,10016
32,Bruce,8457,Martha,9761
33,Harold,8369,Bonnie,9507
34,Douglas,8332,Pamela,9366
35,Jack,7801,Jane,8972
36,Arthur,7537,Helen,8851
37,Joe,7536,Jean,8554
38,Peter,7482,Ruth,8472
39,Carl,7380,Frances,8450
40,Willie,7332,Ann,8077
41,Henry,7315,Phyllis,8047
42,Jimmy,7128,Diana,7542
43,Roy,6918,Peggy,7398
44,Anthony,6771,Alice,7363
45,Billy,6715,Connie,7216
46,Danny,6650,Cynthia,6893
47,Johnny,6605,Elaine,6801
48,Ralph,6587,Catherine,6366
49,Alan,6490,Gail,6228
50,Harry,6027,Christine,6203
51,Fred,6012,Doris,5987
52,Albert,6003,Suzanne,5948
53,Bobby,5765,Jo,5829
54,Ronnie,5726,Marie,5758
55,Howard,5693,Lois,5699
56,Eugene,5671,Rita,5533
57,Gregory,5671,Joanne,5504
58,Mark,5330,Ellen,5236
59,Patrick,5305,Wanda,5236
60,Timothy,5152,Rose,5180
61,Philip,5093,Sue,5144
62,Dale,5023,Jacqueline,5084
63,Louis,4919,Kathryn,4998
64,Mike,4854,Charlotte,4969
65,Stanley,4770,Evelyn,4890
66,Russell,4740,Geraldine,4849
67,Leonard,4699,Sally,4843
68,Barry,4625,Rebecca,4840
69,Steve,4568,Paula,4727
70,Samuel,4521,Sheila,4706
71,Ernest,4395,Darlene,4662
72,Bill,4355,Carole,4621
73,Jim,4337,Sherry,4518
74,Allen,4292,Rosemary,4487
75,Frederick,4233,Laura,4478
76,Norman,4162,Dianne,4278
77,Tommy,4144,Norma,4266
78,Jeffrey,4125,Katherine,4196
79,Don,4111,Kathy,4178
80,Francis,4006,Eileen,4170
81,Glenn,3894,Anne,4116
82,Earl,3831,Sylvia,4091
83,Phillip,3776,Jeanne,4045
84,Andrew,3759,Anita,4027
85,Eddie,3747,Patsy,4016
86,Melvin,3747,Roberta,4016
87,Tom,3624,Anna,3998
88,Marvin,3599,Maria,3962
89,Clarence,3567,Marcia,3946
90,Leroy,3466,Joann,3945
91,Lee,3344,Louise,3926
92,Martin,3333,Sarah,3907
93,Rodney,3303,Lorraine,3887
94,Alfred,3238,Lynn,3884
95,Ray,3166,Maureen,3684
96,Keith,2861,Theresa,3684
97,Herbert,2819,Annie,3650
98,Gene,2757,Marsha,3611
99,Curtis,2720,Glenda,3568
100,Clifford,2616,Constance,3418
101,Theodore,2611,Kay,3357
102,Bernard,2605,Irene,3115
103,Brian,2584,Mildred,3065
104,Jimmie,2566,Dolores,3064
105,Warren,2534,Ruby,3048
106,Lloyd,2496,Marjorie,3041
107,Bob,2492,Charlene,3037
108,Craig,2469,Vicki,3012
109,Jesse,2466,Lynda,2999
110,Vincent,2423,Juanita,2985
111,Gordon,2410,Loretta,2892
112,Edwin,2377,Marlene,2818
113,Leon,2338,Arlene,2801
114,Jerome,2285,Julia,2796
115,Jay,2198,Delores,2780
116,Dan,2193,June,2563
117,Jon,2168,Paulette,2520
118,Lewis,2153,Yvonne,2477
119,Leslie,2138,Deborah,2471
120,Victor,2130,Vivian,2424
121,Floyd,2126,Jeanette,2411
122,Clyde,2065,Victoria,2388
123,Randall,2064,Georgia,2308
124,Allan,2061,Claudia,2307
125,Harvey,2058,Andrea,2301
126,Alvin,2048,Edna,2280
127,Joel,1999,Josephine,2230
128,Calvin,1976,Julie,2169
129,Tony,1974,Lillian,2159
130,Vernon,1967,Leslie,2139
131,Darrell,1906,Emma,2071
132,Dean,1886,Gwendolyn,2061
133,Jose,1861,Pauline,2055
134,Eric,1821,Janis,2053
135,Charlie,1787,Sara,2034
136,Lonnie,1776,Edith,1976
137,Dwight,1754,Lucille,1957
138,Gilbert,1751,Margie,1946
139,Jackie,1730,Ethel,1936
140,Johnnie,1726,Eleanor,1933
141,Franklin,1721,Gayle,1926
142,Duane,1711,Annette,1920
143,Glen,1678,Terry,1917
144,Nicholas,1676,Clara,1914
145,Lester,1669,Wilma,1914
146,Benjamin,1656,Florence,1908
147,Leo,1646,Pat,1872
148,Randy,1637,Teresa,1834
149,Chester,1620,Audrey,1833
150,Christopher,1600,Thelma,1794
151,Freddie,1589,Esther,1779
152,Herman,1589,Maryann,1765
153,Arnold,1573,Grace,1763
154,Lynn,1530,Lynne,1763
155,Scott,1522,Marion,1752
156,Milton,1508,Jennifer,1733
157,Ted,1492,Gladys,1714
158,Manuel,1491,Janie,1704
159,Cecil,1406,Willie,1686
160,Dave,1398,Priscilla,1660
161,Neil,1343,Eva,1652
162,Garry,1313,Marian,1649
163,Claude,1305,Penny,1646
164,Sam,1301,Billie,1635
165,Donnie,1275,Sheryl,1632
166,Roland,1262,Jill,1625
167,Wesley,1249,Cathy,1623
168,Micheal,1238,Rosa,1619
169,Wallace,1210,Denise,1585
170,Sammy,1192,Joy,1573
171,Tim,1134,Bobbie,1555
172,Juan,1130,Maxine,1543
173,Jonathan,1102,Bertha,1532
174,Hugh,1088,Jackie,1528
175,Marshall,1075,Hazel,1520
176,Maurice,1058,Stephanie,1508
177,Willard,1058,Ella,1499
178,Elmer,1045,Lillie,1487
179,Kevin,1035,Bernice,1468
180,Stuart,1032,Beatrice,1463
181,Jessie,1020,Valerie,1440
182,Oscar,1017,Faye,1422
183,Sidney,1010,Dianna,1404
184,Benny,1003,Ida,1390
185,Karl,998,Toni,1386
186,Nathaniel,977,Emily,1379
187,Guy,975,Michele,1374
188,Alexander,965,Bernadette,1320
189,Marion,945,Lana,1300
190,Terrence,938,Harriet,1299
191,Everett,936,Patty,1289
192,Morris,915,Angela,1280
193,Edgar,911,Deanna,1276
194,Matthew,892,Lucy,1235
195,Kent,888,Marianne,1235
196,Bennie,885,Rachel,1234
197,Gerard,883,Regina,1233
198,Virgil,882,Bonita,1213
199,Carlos,868,Jacquelyn,1208
200,Lyle,859,Vera,1207
201,Perry,857,Veronica,1206
202,Earnest,850,Carla,1201
203,Fredrick,844,Yolanda,1201
204,Max,841,Vickie,1195
205,Randolph,835,Rosie,1182
206,Rick,830,Sandy,1180
207,Ron,829,Jessie,1173
208,Dick,828,Alma,1171
209,Chris,827,Stella,1160
210,Ben,820,Jan,1148
211,Luther,808,Rosalie,1128
212,Greg,806,Claire,1115
213,Clinton,804,Colleen,1093
214,Clifton,802,Caroline,1090
215,Marc,790,Mattie,1089
216,Byron,786,Francine,1083
217,Otis,782,Susie,1078
218,Ira,779,Minnie,1073
219,Jeff,764,Carmen,1070
220,Ricky,762,Carrie,1070
221,Clayton,751,Rosemarie,1067
222,Nelson,741,Elsie,1041
223,Reginald,719,Dawn,1040
224,Laurence,708,Becky,1038
225,Alex,706,Bessie,1022
226,Jesus,699,Nina,1012
227,Ken,684,Candace,1001
228,Pete,683,Dixie,985
229,Carroll,682,Nora,969
230,Hubert,682,Jeannette,965
231,Delbert,677,Christina,964
232,Neal,676,Beth,962
233,Antonio,669,Geneva,955
234,Horace,669,Dora,943
235,Mitchell,664,Madeline,926
236,Rex,662,Johnnie,924
237,Loren,652,Deloris,917
238,Darryl,650,Trudy,891
239,Lowell,650,Lydia,886
240,Ross,650,Nellie,885
241,Ruben,648,Renee,878
242,Rodger,645,Velma,874
243,Edmund,636,Agnes,869
244,Troy,635,Naomi,839
245,Terrance,630,Leona,819
246,Rudolph,628,Myra,818
247,Rudy,627,Alberta,811
248,Malcolm,626,Lee,807
249,Pat,623,Mae,805
250,Archie,622,Cecilia,802
251,Oliver,619,Cora,800
252,Wendell,613,Marguerite,800
253,Alton,610,Iris,797
254,Kenny,609,Ernestine,787
255,Daryl,600,Doreen,781
256,Homer,593,Antoinette,780
257,Frankie,590,Viola,780
258,Tommie,588,Irma,774
259,Willis,583,Robin,773
260,Dana,580,Sharron,770
261,Aaron,578,Laurie,769
262,Wilbert,577,Wendy,762
263,Leland,569,Michelle,755
264,Darrel,568,Saundra,744
265,Van,567,Verna,742
266,Jan,565,Hattie,739
267,Mack,565,Bette,732
268,Nick,564,Olivia,728
269,Jerald,563,Ramona,724
270,Bradley,561,Hilda,716
271,Nathan,558,Jennie,716
272,Jeffery,554,Cecelia,711
273,Teddy,552,Dana,709
274,Myron,551,Lola,699
275,Julius,543,Miriam,699
276,Phil,543,Lena,697
277,Carlton,541,Bettye,696
278,Sylvester,538,Betsy,695
279,Julian,524,Sharyn,680
280,Clark,523,Susanne,680
281,Wilbur,523,Bettie,679
282,Dewey,522,Lula,679
283,Sherman,520,Laurel,678
284,Roosevelt,517,Pearl,678
285,Isaac,514,Cindy,677
286,Doyle,508,Jeannie,669
287,Brent,506,Dale,662
288,Salvatore,503,Marcella,659
289,Ellis,500,Penelope,641
290,Roberto,497,Gertrude,639
291,Forrest,492,Eunice,632
292,Kerry,489,Myrna,620
293,Mickey,489,Sondra,617
294,Rickey,483,Violet,614
295,Raul,482,Laverne,609
296,Ivan,477,Eloise,607
297,Wade,474,Fannie,603
298,Tyrone,473,Erma,602
299,Woodrow,470,Judi,601
300,Rufus,468,Katie,598
301,Ramon,466,Ginger,596
302,Bryan,460,Vicky,594
303,Geoffrey,458,Darla,592
304,Jacob,456,Cheri,591
305,Francisco,454,Della,588
306,Preston,453,Rhonda,579
307,Denis,448,Daisy,578
308,Felix,448,Myrtle,571
