rank,male_name,male_count,female_name,female_count
1,John,8159,Mary,14406
2,William,7400,Anna,5773
3,James,5321,Helen,5230
4,George,4853,Margaret,4696
5,Charles,3557,Ruth,4249
6,Joseph,3171,Florence,3790
7,Robert,2932,Elizabeth,3659
8,Frank,2925,Ethel,3531
9,Edward,2337,Marie,3435
10,Thomas,2161,Lillian,3061
11,Henry,2145,Alice,2846
12,Harry,2129,Edna,2813
13,Walter,2002,Emma,2788
14,Arthur,1619,Clara,2731
15,Fred,1447,Grace,2726
16,Albert,1417,Bessie,2647
17,Clarence,1326,Bertha,2642
18,Willie,1134,Annie,2470
19,Dewey,1115,Hazel,2439
20,Roy,1049,Rose,2436
21,Paul,991,Minnie,2409
22,Harold,963,Frances,2379
23,Raymond,929,Mabel,2331
24,Carl,919,Gertrude,2302
25,Earl,883,Martha,2184
26,Richard,872,Pearl,2158
27,Louis,862,Gladys,2136
28,Ernest,839,Mildred,2101
29,Joe,827,Ida,2090
30,David,815,Myrtle,2090
31,Ralph,803,Esther,2047
32,Samuel,749,Edith,1981
33,Charlie,728,Elsie,1919
34,Herbert,716,Irene,1902
35,Howard,706,Eva,1823
36,Alfred,645,Nellie,1810
37,Jack,633,Sarah,1800
38,Andrew,611,Laura,1768
39,Leo,588,Ella,1715
40,Elmer,583,Agnes,1708
41,Oscar,546,Catherine,1705
42,Sam,543,Louise,1693
43,Francis,541,Dorothy,1671
44,Lawrence,533,Lillie,1522
45,Daniel,523,Julia,1462
46,Lee,498,Josephine,1425
47,Jesse,476,Carrie,1371
48,Will,475,Hattie,1328
49,Eugene,473,Lena,1320
50,Herman,467,Mattie,1314
51,Floyd,434,Cora,1304
52,Michael,434,Alma,1299
53,Leonard,421,Viola,1272
54,Peter,409,Blanche,1269
55,Benjamin,405,Jessie,1244
56,Ray,394,Mae,1239
57,Edwin,392,Jennie,1194
58,Clyde,383,Ruby,1191
59,Claude,371,Lucy,1144
60,Frederick,368,Beatrice,1122
61,Russell,359,Fannie,1085
62,Lewis,352,Marion,1085
63,Martin,339,Mamie,1084
64,Tom,337,Lula,1069
65,Anthony,325,Stella,1062
66,Chester,321,Ada,1022
67,Clifford,317,Maude,1009
68,Leroy,315,Dora,929
69,Ben,310,Katherine,914
70,Lester,298,Pauline,900
71,Stanley,295,Willie,878
72,Edgar,285,Maggie,876
73,Bernard,284,Vera,875
74,Harvey,284,Nora,868
75,Theodore,281,Rosa,841
76,Luther,275,Evelyn,836
77,Jim,269,Sadie,808
78,Jessie,267,Virginia,801
79,Lloyd,265,Marguerite,800
80,Otto,259,Lucille,795
81,Eddie,256,Ellen,786
82,Jacob,256,Beulah,783
83,Leon,251,Effie,714
84,Hugh,250,Daisy,712
85,Homer,246,Susie,702
86,Philip,244,May,696
87,Cecil,243,Nettie,678
88,Donald,238,Lydia,677
89,Ed,228,Kathryn,671
90,Leslie,228,Leona,665
91,Milton,225,Della,656
92,Archie,222,Georgia,654
93,Patrick,219,Olive,644
94,Guy,215,Emily,628
95,Everett,212,Eleanor,620
96,Norman,207,Bernice,619
97,Victor,205,Hilda,610
98,Ira,195,Flora,607
99,Stephen,195,Thelma,605
100,Kenneth,191,Sallie,598
101,Horace,189,Ann,593
102,Oliver,186,Lottie,586
103,Allen,185,Lizzie,582
104,Alvin,184,Katie,580
105,Julius,181,Charlotte,569
106,Alexander,180,Nancy,546
107,Otis,179,Theresa,540
108,Glenn,178,Lola,534
109,Sidney,171,Anne,496
110,Charley,170,Harriet,491
111,Marion,166,Addie,481
112,August,164,Etta,479
113,Morris,164,Inez,479
114,Earnest,161,Lois,466
115,Melvin,159,Lela,459
116,Emil,158,Ollie,459
117,Isaac,156,Marjorie,457
118,Wilbur,156,Loretta,454
119,Percy,155,Iva,451
120,Virgil,155,Ora,447
121,Johnnie,153,Goldie,446
122,Mack,153,Caroline,441
123,Warren,151,Eunice,437
124,Wesley,151,Henrietta,430
125,Alex,149,Doris,429
126,Bert,143,Betty,421
127,Gilbert,143,Violet,411
128,Jerry,143,Estelle,410
129,Maurice,143,Verna,410
130,Vernon,143,Jane,406
131,Rufus,141,Eula,400
132,Vincent,140,Genevieve,391
133,Wallace,138,Sylvia,391
134,Willard,137,Nina,383
135,Matthew,133,Susan,382
136,Max,132,Rebecca,376
137,Emmett,131,Amanda,371
138,Lonnie,129,Rachel,367
139,Curtis,128,Sara,362
140,Dave,127,Amelia,360
141,Marvin,127,Nannie,359
142,Dan,125,Mollie,357
143,Calvin,121,Mable,356
144,Willis,121,Matilda,349
145,Jake,117,Marian,343
146,Bennie,116,Amy,341
147,Rudolph,115,Jean,341
148,Sylvester,115,Hannah,338
149,Hubert,114,Madeline,337
150,Irving,113,Essie,336
151,Arnold,112,Frieda,335
152,Franklin,112,Velma,331
153,Nelson,112,Lucile,330
154,Glen,111,Rosie,330
155,Gordon,110,Maria,329
156,Jose,110,Olga,329
157,Marshall,109,Ola,327
158,Jess,108,Flossie,320
159,Mark,108,Estella,319
160,Mike,106,Irma,319
161,Alonzo,104,Alta,317
162,Felix,103,Vivian,308
163,Edmund,101,Kathleen,306
164,Orville,101,Barbara,304
165,Gerald,100,Winnie,304
166,Dennis,99,Alberta,302
167,Nathan,99,Christine,302
168,Roland,97,Ina,297
169,Amos,96,Kate,297
170,Ellis,96,Winifred,289
171,Manuel,95,Victoria,276
172,Nicholas,94,Freda,273
173,Abraham,92,Allie,271
174,Clinton,92,Celia,265
175,Bill,90,Fern,265
176,Nathaniel,90,Naomi,264
177,Aaron,89,Maud,262
178,Ollie,88,Opal,262
179,Adam,87,Elva,261
180,Clayton,87,Luella,261
181,Elbert,87,Eliza,259
182,Steve,87,Sophie,259
183,Phillip,86,Belle,257
184,Jay,85,Isabel,252
185,Adolph,84,Augusta,248
186,Clifton,83,Nell,246
187,Harrison,83,Norma,241
188,Perry,83,Erma,240
