rank,male_name,male_count,female_name,female_count
1,John,9039,Mary,13172
2,William,7782,Anna,5542
3,James,5398,Elizabeth,3461
4,George,4760,Margaret,3435
5,Charles,4319,Ruth,3290
6,Frank,3150,Florence,3154
7,Joseph,3064,Emma,3128
8,Robert,2710,Ethel,3035
9,Harry,2460,Helen,2936
10,Henry,2452,Clara,2661
11,Edward,2416,Bertha,2617
12,Thomas,2413,Minnie,2609
13,Walter,2229,Bessie,2541
14,Arthur,1768,Alice,2373
15,Fred,1628,Annie,2348
16,Albert,1500,Grace,2299
17,Clarence,1276,Ida,2259
18,Roy,1048,Edna,2218
19,Willie,948,Mabel,2170
20,Samuel,902,Lillian,2154
21,Earl,888,Marie,2066
22,Louis,865,Rose,2023
23,Joe,819,Gertrude,1924
24,David,813,Martha,1915
25,Carl,808,Hazel,1897
26,Ernest,805,Pearl,1831
27,Richard,802,Ella,1808
28,Charlie,761,Sarah,1798
29,Paul,747,Laura,1744
30,Ralph,725,Nellie,1738
31,Raymond,681,Frances,1670
32,Andrew,637,Myrtle,1666
33,Oscar,634,Edith,1625
34,Will,607,Eva,1611
35,Jesse,602,Carrie,1588
36,Elmer,592,Lillie,1503
37,Harold,583,Elsie,1489
38,Sam,551,Louise,1446
39,Howard,548,Cora,1419
40,Alfred,542,Hattie,1363
41,Daniel,533,Julia,1360
42,Benjamin,525,Catherine,1333
43,Herbert,513,Agnes,1328
44,Lawrence,468,Mattie,1303
45,Peter,465,Maude,1270
46,Lee,460,Jessie,1246
47,Grover,454,Lena,1234
48,Frederick,453,Jennie,1212
49,Leo,444,Josephine,1210
50,Francis,429,Ada,1134
51,Herman,421,Irene,1107
52,Floyd,420,Mae,1101
53,Eugene,414,Lula,1098
54,Jack,401,Blanche,1094
55,Lewis,399,Lucy,1057
56,Clyde,390,Alma,1056
57,Ray,385,Fannie,1031
58,Tom,381,Mamie,978
59,Michael,380,Stella,972
60,Ben,361,Katherine,961
61,Martin,359,Dora,960
62,Claude,353,Mildred,959
63,Edwin,338,Nora,899
64,Jim,334,Maggie,883
65,Guy,315,Gladys,867
66,Ed,306,Viola,833
67,Edgar,303,Esther,824
68,Homer,301,Rosa,796
69,Harvey,298,Ellen,760
70,Luther,295,May,753
71,Leonard,294,Sadie,724
72,Chester,285,Effie,721
73,Jacob,283,Nettie,705
74,Otto,275,Ruby,695
75,Russell,269,Susie,669
76,Lloyd,268,Della,666
77,Hugh,265,Beulah,638
78,Anthony,255,Willie,631
79,Jessie,251,Dorothy,626
80,Clifford,240,Lizzie,597
81,Lester,240,Nancy,591
82,Philip,239,Flora,585
83,Theodore,239,Olive,583
84,Oliver,238,Sallie,582
85,Bernard,237,Daisy,564
86,Patrick,234,Katie,563
